"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.444444444444444 -229.189884269181 0.507876712328767 0.376302083333333 0.0772761068878849 0.00385193804323996 0.0600518123854115 0.0260948980839396 0.973 0.782365166039455 230.4 0.027 1
"tree_2" 0.333333333333333 -269.767109587084 0.410616438356165 0.335007727975271 0.255765388057074 0.00514676767144097 0.181204254528389 0.160986920933846 0.9 0.656044200426837 258.8 0.1 1
"tree_3" 0.444444444444444 -140.60580082869 0.720205479452055 0.514845605700713 0.0772761068878849 0.00198307435258086 0.00133300063356633 2.52644477284718e-07 1 1 168.4 0 1
"tree_4" 0.444444444444444 -140.60580082869 0.720205479452055 0.514845605700713 0.0772761068878849 0.00198307435258086 0.00133300063356633 2.52644477284718e-07 1 1 168.4 0 1
"tree_5" 0.555555555555556 -154.893556222317 0.685958904109589 0.485986547085202 0.0149544975956452 0.00221365882599707 0.00291680842907347 5.71903372207891e-06 1 1 178.4 0 1
"tree_6" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_7" 0.444444444444444 -119.174167738248 0.771575342465754 0.565189048239896 0.0772761068878849 0.00167789964059619 0.000346011918674714 4.17505912497727e-10 1 1 153.4 0 1
"tree_8" 0.333333333333333 -248.335476496642 0.461986301369863 0.355619360131255 0.255765388057074 0.00442127115112043 0.105294387086364 0.0710161037522765 0.952 0.722763020292656 243.8 0.048 1
"tree_9" 0.555555555555556 -176.325189312759 0.634589041095891 0.448293691830403 0.0149544975956452 0.00260527942764061 0.00820451292279351 0.000188899123259129 0.998 0.946938255041811 193.4 0.002 1
"tree_10" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_11" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_12" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_13" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_14" 0.555555555555556 -160.322903271896 0.672945205479452 0.475850713501647 0.0149544975956452 0.00230747001108434 0.00384728872999739 1.56065493778671e-05 0.999 0.996754973874957 182.2 0.001 1
"tree_15" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_16" 0.444444444444444 -140.60580082869 0.720205479452055 0.514845605700713 0.0772761068878849 0.00198307435258086 0.00133300063356633 2.52644477284718e-07 1 1 168.4 0 1
"tree_17" 0.555555555555556 -154.893556222317 0.685958904109589 0.485986547085202 0.0149544975956452 0.00221365882599707 0.00291680842907347 5.71903372207891e-06 1 1 178.4 0 1
"tree_18" 0.222222222222222 -291.198742677525 0.359246575342466 0.316654492330168 0.571509000171123 0.00597637160466454 0.286702620584282 0.288163583311828 0.808 0.589325380561017 273.8 0.192 1
"tree_19" 0.333333333333333 -269.767109587084 0.410616438356165 0.335007727975271 0.255765388057074 0.00514676767144097 0.181204254528389 0.160986920933846 0.9 0.656044200426837 258.8 0.1 1
"tree_20" 0.444444444444444 -183.469067009573 0.617465753424658 0.436995967741936 0.0772761068878849 0.00274911007770635 0.0112099317193493 0.000475870852476843 0.998 0.924698648419871 198.4 0.002 1
"tree_21" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_22" 0.222222222222222 -291.198742677525 0.359246575342466 0.316654492330168 0.571509000171123 0.00597637160466454 0.286702620584282 0.288163583311828 0.808 0.589325380561017 273.8 0.192 1
"tree_23" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_24" 0.444444444444444 -204.900700100014 0.566095890410959 0.406279287722587 0.0772761068878849 0.00322460541879986 0.02625464348487 0.00441323088049945 0.987 0.857979828554051 213.4 0.013 1
"tree_25" 0.333333333333333 -226.332333190456 0.51472602739726 0.379597197898424 0.255765388057074 0.003772847860787 0.0548606350699437 0.0218754884194604 0.975 0.791261008688231 228.4 0.025 1
"tree_26" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_27" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_28" 0.333333333333333 -248.335476496642 0.461986301369863 0.355619360131255 0.255765388057074 0.00442127115112043 0.105294387086364 0.0710161037522765 0.952 0.722763020292656 243.8 0.048 1
"tree_29" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_30" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_31" 0.555555555555556 -161.180168595514 0.670890410958904 0.474288840262582 0.0149544975956452 0.00232260707554867 0.00401532440145007 1.81415332585853e-05 0.999 0.994086221080324 182.8 0.001 1
"tree_32" 0.333333333333333 -226.332333190456 0.51472602739726 0.379597197898424 0.255765388057074 0.003772847860787 0.0548606350699437 0.0218754884194604 0.975 0.791261008688231 228.4 0.025 1
"tree_33" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_34" 0.444444444444444 -226.046578082583 0.51541095890411 0.379929886064855 0.0772761068878849 0.00376501948040449 0.0543615550236506 0.0214838239863419 0.975 0.792150592953109 228.2 0.025 1
"tree_35" 0.444444444444444 -226.046578082583 0.51541095890411 0.379929886064855 0.0772761068878849 0.00376501948040449 0.0543615550236506 0.0214838239863419 0.975 0.792150592953109 228.2 0.025 1
"tree_36" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_37" 0.333333333333333 -248.335476496642 0.461986301369863 0.355619360131255 0.255765388057074 0.00442127115112043 0.105294387086364 0.0710161037522765 0.952 0.722763020292656 243.8 0.048 1
"tree_38" 0.333333333333333 -269.767109587084 0.410616438356165 0.335007727975271 0.255765388057074 0.00514676767144097 0.181204254528389 0.160986920933846 0.9 0.656044200426837 258.8 0.1 1
"tree_39" 0.444444444444444 -247.478211173025 0.464041095890411 0.356496710526316 0.0772761068878849 0.00439425305096456 0.102843522829566 0.0683147384493917 0.952 0.725431773087289 243.2 0.048 1
"tree_40" 0.333333333333333 -269.767109587084 0.410616438356165 0.335007727975271 0.255765388057074 0.00514676767144097 0.181204254528389 0.160986920933846 0.9 0.656044200426837 258.8 0.1 1
"tree_41" 0.333333333333333 -268.909844263466 0.412671232876712 0.335786212238575 0.255765388057074 0.00511582765107937 0.177605066664295 0.156587118435112 0.905 0.658712953221469 258.2 0.095 1
"tree_42" 0.444444444444444 -183.469067009573 0.617465753424658 0.436995967741936 0.0772761068878849 0.00274911007770635 0.0112099317193493 0.000475870852476843 0.998 0.924698648419871 198.4 0.002 1
"tree_43" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_44" 0.444444444444444 -162.037433919131 0.668835616438356 0.472737186477645 0.0772761068878849 0.00233783399717776 0.00418961877006 2.10443415986127e-05 0.999 0.991417468285691 183.4 0.001 1
"tree_45" 0.444444444444444 -219.759965709387 0.530479452054795 0.387399463806971 0.0772761068878849 0.0035964397152545 0.0442578674649582 0.0141416956080184 0.982 0.811721446780416 223.8 0.018 1
"tree_46" 0.444444444444444 -226.046578082583 0.51541095890411 0.379929886064855 0.0772761068878849 0.00376501948040449 0.0543615550236506 0.0214838239863419 0.975 0.792150592953109 228.2 0.025 1
"tree_47" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_48" 0.444444444444444 -219.759965709387 0.530479452054795 0.387399463806971 0.0772761068878849 0.0035964397152545 0.0442578674649582 0.0141416956080184 0.982 0.811721446780416 223.8 0.018 1
"tree_49" 0.555555555555556 -161.180168595514 0.670890410958904 0.474288840262582 0.0149544975956452 0.00232260707554867 0.00401532440145007 1.81415332585853e-05 0.999 0.994086221080324 182.8 0.001 1
"tree_50" 0.555555555555556 -133.461923131876 0.737328767123288 0.530599755201958 0.0149544975956452 0.00187616112891824 0.00087213054326025 3.8944081159953e-08 1 1 163.4 0 1
"tree_51" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
"tree_52" 0.333333333333333 -248.335476496642 0.461986301369863 0.355619360131255 0.255765388057074 0.00442127115112043 0.105294387086364 0.0710161037522765 0.952 0.722763020292656 243.8 0.048 1
"tree_53" 0.444444444444444 -204.043434776397 0.568150684931507 0.407424812030075 0.0772761068878849 0.00320424841521564 0.0254342598229315 0.00409172687719256 0.987 0.860648581348684 212.8 0.013 1
"tree_54" 0.333333333333333 -205.472210315759 0.564726027397261 0.405519176800748 0.255765388057074 0.00323824131830551 0.026813504484986 0.00463892295259063 0.987 0.856200660024296 213.8 0.013 1
"tree_55" 0.333333333333333 -226.332333190456 0.51472602739726 0.379597197898424 0.255765388057074 0.003772847860787 0.0548606350699437 0.0218754884194604 0.975 0.791261008688231 228.4 0.025 1
"tree_56" 0.333333333333333 -269.767109587084 0.410616438356165 0.335007727975271 0.255765388057074 0.00514676767144097 0.181204254528389 0.160986920933846 0.9 0.656044200426837 258.8 0.1 1
"tree_57" 0.222222222222222 -291.198742677525 0.359246575342466 0.316654492330168 0.571509000171123 0.00597637160466454 0.286702620584282 0.288163583311828 0.808 0.589325380561017 273.8 0.192 1
"tree_58" 0.222222222222222 -291.198742677525 0.359246575342466 0.316654492330168 0.571509000171123 0.00597637160466454 0.286702620584282 0.288163583311828 0.808 0.589325380561017 273.8 0.192 1
"tree_59" 0.444444444444444 -226.046578082583 0.51541095890411 0.379929886064855 0.0772761068878849 0.00376501948040449 0.0543615550236506 0.0214838239863419 0.975 0.792150592953109 228.2 0.025 1
"tree_60" 0.444444444444444 -204.614944992142 0.566780821917808 0.406660412757974 0.0772761068878849 0.00321780685939155 0.0259788095615274 0.00430382655831596 0.987 0.858869412818929 213.2 0.013 1
"tree_61" 0.333333333333333 -226.903843406201 0.513356164383562 0.378933566433567 0.255765388057074 0.00378854841827991 0.0558695939243001 0.022674998422176 0.975 0.789481840158476 228.8 0.025 1
