"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 4.795 31.114 128.471 15.97 0.625 -548.8842544317 0.865387863218994 0.513273767435881
"2" 4.795 27.701 128.471 15.97 0.5 -477.705943691345 0.895725371330033 0.576513483267752
"3" 4.795 37.885 128.471 15.97 0.75 -690.093847758081 0.805201731540164 0.421538867625709
"4" 4.795 25.685 128.471 15.97 0.375 -435.662148070907 0.91364521204256 0.621763675296866
"5" 4.795 24.121 128.471 15.97 0.5 -403.044838373306 0.927547310690572 0.662078686621616
"6" 4.795 32.794 128.471 15.97 0.75 -583.920750782065 0.850454662625221 0.486979325486369
"7" 4.795 31.11 128.471 15.97 0.625 -548.800834202294 0.865423418458503 0.513339762134362
"8" 4.795 30.988 128.471 15.97 0.625 -546.256517205422 0.866507853263527 0.51536078481993
"9" 4.795 27.292 128.471 15.97 0.375 -469.176225234619 0.899360894569826 0.585153158434706
"10" 4.795 28.074 128.471 15.97 0.5 -485.48488008342 0.89240984524582 0.568853743677424
"11" 4.795 31.11 128.471 15.97 0.625 -548.800834202294 0.865423418458503 0.513339762134362
"12" 4.795 32.678 128.471 15.97 0.625 -581.501564129302 0.851485764570982 0.488707999265561
"13" 4.795 26.341 128.471 15.97 0.5 -449.343065693431 0.907814152763087 0.60627918454121
"14" 4.795 25.777 128.471 15.97 0.625 -437.580813347237 0.912827441533853 0.619544555223649
"15" 4.795 31.122 128.471 15.97 0.625 -549.051094890511 0.865316752739976 0.513141828931303
"16" 4.795 29.389 128.471 15.97 0.625 -512.909280500521 0.880721060257242 0.543400592058253
"17" 4.795 34.649 128.471 15.97 0.625 -622.606882168926 0.833965920302931 0.460907962711767
"18" 4.795 31.957 128.471 15.97 0.5 -566.465067778936 0.857894596492476 0.499734017586131
"19" 4.795 25.781 128.471 15.97 0.5 -437.664233576642 0.912791886294344 0.619448431015089
"20" 4.795 34.576 128.471 15.97 0.625 -621.084462982273 0.83461480342397 0.461881073577048
"21" 4.795 30.988 128.471 15.97 0.625 -546.256517205422 0.866507853263527 0.51536078481993
"22" 4.795 43.375 128.471 15.97 0.875 -804.58811261731 0.756402165314086 0.368184438040346
"23" 4.795 27.062 128.471 15.97 0.625 -464.379562043796 0.901405320841593 0.590126376468849
"24" 4.795 24.121 128.471 15.97 0.375 -403.044838373306 0.927547310690572 0.662078686621616
"25" 4.795 27.471 128.471 15.97 0.625 -472.909280500521 0.897769797601799 0.581340322521932
"26" 4.795 33.698 128.471 15.97 0.625 -602.773722627737 0.842419178496191 0.473915365897086
"27" 4.795 36.443 128.471 15.97 0.75 -660.020855057351 0.818019395383152 0.438218587931839
"28" 4.795 31.061 128.471 15.97 0.5 -547.778936392075 0.865858970142488 0.514149576639516
"29" 4.795 31.674 128.471 15.97 0.625 -560.563086548488 0.860410129687736 0.50419902759361
"30" 4.795 37.103 128.471 15.97 0.625 -673.785192909281 0.81215278086417 0.430423415896289
"31" 4.795 39.848 128.471 15.97 0.75 -731.032325338895 0.787752997751131 0.400772937161213
"32" 4.795 24.007 128.471 15.97 0.625 -400.667361835245 0.928560635016578 0.665222643395676
"33" 4.795 34.71 128.471 15.97 0.75 -623.879040667362 0.833423702900419 0.460097954479977
"34" 4.795 31.061 128.471 15.97 0.625 -547.778936392075 0.865858970142488 0.514149576639516
"35" 4.795 31.175 128.471 15.97 0.5 -550.156412930136 0.864845645816482 0.512269446672013
"36" 4.795 37.885 128.471 15.97 0.75 -690.093847758081 0.805201731540164 0.421538867625709
"37" 4.795 29.941 128.471 15.97 0.625 -524.421272158498 0.875814437205003 0.533382318559834
"38" 4.795 29.025 128.471 15.97 0.5 -505.318039624609 0.88395658705256 0.55021533161068
"39" 4.795 35.14 128.471 15.97 0.75 -632.846715328467 0.829601514653203 0.454467842914058
"40" 4.795 29.369 128.471 15.97 0.5 -512.492179353493 0.880898836454787 0.543770642514216
"41" 4.795 23.15 128.471 15.97 0.375 -382.794577685089 0.936178345081377 0.689848812095032
"42" 4.795 28.086 128.471 15.97 0.5 -485.735140771637 0.892303179527293 0.568610695720288
"43" 4.795 30.892 128.471 15.97 0.5 -544.254431699687 0.867361179011742 0.516962320341836
"44" 4.795 26.636 128.471 15.97 0.25 -455.495307612096 0.905191953849299 0.59956449917405
"45" 4.795 38.168 128.471 15.97 0.75 -695.99582898853 0.802686198344904 0.418413330538671
"46" 4.795 32.794 128.471 15.97 0.75 -583.920750782065 0.850454662625221 0.486979325486369
"47" 4.795 30.09 128.471 15.97 0.5 -527.528675703858 0.874490004533293 0.530741110003323
"48" 4.795 36.443 128.471 15.97 0.75 -660.020855057351 0.818019395383152 0.438218587931839
"49" 4.795 23.17 128.471 15.97 0.375 -383.211678832117 0.936000568883832 0.689253344842469
"50" 4.795 30.11 128.471 15.97 0.5 -527.945776850886 0.874312228335748 0.530388575224178
"51" 4.795 32.969 128.471 15.97 0.625 -587.570385818561 0.848899120896703 0.484394431132276
"52" 4.795 36.443 128.471 15.97 0.75 -660.020855057351 0.818019395383152 0.438218587931839
"53" 4.795 27.522 128.471 15.97 0.5 -473.972888425443 0.89731646829806 0.580263062277451
"54" 4.795 38.115 128.471 15.97 0.625 -694.890510948905 0.803157305268398 0.418995146267874
"55" 4.795 30.049 128.471 15.97 0.625 -526.67361835245 0.87485444573826 0.531465273386802
"56" 4.795 29.316 128.471 15.97 0.5 -511.386861313869 0.881369943378281 0.544753718106154
"57" 4.795 32.395 128.471 15.97 0.75 -575.599582898853 0.854001297766242 0.492977311313474
"58" 4.795 30.988 128.471 15.97 0.625 -546.256517205422 0.866507853263527 0.51536078481993
"59" 4.795 26.353 128.471 15.97 0.5 -449.593326381648 0.90770748704456 0.606003111600197
"60" 4.795 35.431 128.471 15.97 0.625 -638.915537017727 0.827014870978925 0.450735231859106
"61" 4.795 29.369 128.471 15.97 0.5 -512.492179353493 0.880898836454787 0.543770642514216
"62" 4.795 43.375 128.471 15.97 0.875 -804.58811261731 0.756402165314086 0.368184438040346
"63" 4.795 33.698 128.471 15.97 0.625 -602.773722627737 0.842419178496191 0.473915365897086
"64" 4.795 29.267 128.471 15.97 0.75 -510.36496350365 0.881805495062266 0.545665766904705
"65" 4.795 32.916 128.471 15.97 0.625 -586.465067778936 0.849370227820197 0.485174383278649
"66" 4.795 37.164 128.471 15.97 0.625 -675.057351407716 0.811610563461658 0.429716930362717
"67" 4.795 27.365 128.471 15.97 0.375 -470.698644421272 0.898712011448787 0.583592179791705
"68" 4.795 32.855 128.471 15.97 0.625 -585.192909280501 0.849912445222709 0.48607517881601
"69" 4.795 32.395 128.471 15.97 0.75 -575.599582898853 0.854001297766242 0.492977311313474
"70" 4.795 32.794 128.471 15.97 0.75 -583.920750782065 0.850454662625221 0.486979325486369
"71" 4.795 34.649 128.471 15.97 0.625 -622.606882168926 0.833965920302931 0.460907962711767
"72" 4.795 36.321 128.471 15.97 0.75 -657.47653806048 0.819103830188176 0.439690537154814
"73" 4.795 31.965 128.471 15.97 0.625 -566.631908237748 0.857823486013458 0.499608947286094
"74" 4.795 35.37 128.471 15.97 0.5 -637.643378519291 0.827557088381437 0.451512581283574
"75" 4.795 31.674 128.471 15.97 0.625 -560.563086548488 0.860410129687736 0.50419902759361
"76" 4.795 24.121 128.471 15.97 0.5 -403.044838373306 0.927547310690572 0.662078686621616
"77" 4.795 31.904 128.471 15.97 0.5 -565.359749739312 0.85836570341597 0.500564192577733
"78" 4.795 28.147 128.471 15.97 0.5 -487.007299270073 0.891760962124781 0.567378406224464
"79" 4.795 34.71 128.471 15.97 0.75 -623.879040667362 0.833423702900419 0.460097954479977
"80" 4.795 39.848 128.471 15.97 0.75 -731.032325338895 0.787752997751131 0.400772937161213
"81" 4.795 29.933 128.471 15.97 0.625 -524.254431699687 0.875885547684021 0.533524872214613
"82" 4.795 34.515 128.471 15.97 0.625 -619.812304483837 0.835157020826482 0.462697377951615
"83" 4.795 38.176 128.471 15.97 0.75 -696.162669447341 0.802615087865886 0.4183256496228
"84" 4.795 31.831 128.471 15.97 0.5 -563.837330552659 0.859014586537009 0.501712167383997
"85" 4.795 30.662 128.471 15.97 0.625 -539.457768508863 0.869405605283509 0.520840127845542
"86" 4.795 32.916 128.471 15.97 0.625 -586.465067778936 0.849370227820197 0.485174383278649
