"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 13.24 64.8369 558.7809 33.9 0.647058823529412 -389.704682779456 0.941059200287151 0.522850413884686
"2" 13.24 104.6566 558.7809 33.9 0.588235294117647 -690.457703927493 0.865194942319296 0.323916504071411
"3" 13.24 128.7616 558.7809 33.9 0.588235294117647 -872.519637462236 0.81927023825786 0.263277250360356
"4" 13.24 69.5186 558.7809 33.9 0.352941176470588 -425.064954682779 0.932139653014617 0.487639279272022
"5" 13.24 108.8989 558.7809 33.9 0.529411764705882 -722.499244712991 0.857112537339423 0.311297910263556
"6" 13.24 101.7779 558.7809 33.9 0.529411764705882 -668.715256797583 0.870679424608516 0.333078202635346
"7" 13.24 114.1209 558.7809 33.9 0.529411764705882 -761.940332326284 0.847163613688362 0.297053388117339
"8" 13.24 101.1666 558.7809 33.9 0.470588235294118 -664.098187311178 0.87184406976897 0.33509083037287
"9" 13.24 108.9509 558.7809 33.9 0.588235294117647 -722.891993957704 0.857013467245617 0.311149334241388
"10" 13.24 128.8769 558.7809 33.9 0.764705882352941 -873.390483383686 0.819050569376786 0.26304170879343
"11" 13.24 133.8649 558.7809 33.9 0.705882352941177 -911.064199395771 0.809547461147853 0.253240393859779
"12" 13.24 90.8539 558.7809 33.9 0.647058823529412 -586.207703927493 0.891491765084231 0.373126525113396
"13" 13.24 101.7799 558.7809 33.9 0.647058823529412 -668.730362537764 0.870675614220293 0.333071657566966
"14" 13.24 92.0019 558.7809 33.9 0.529411764705882 -594.878398791541 0.889304602244052 0.368470651149596
"15" 13.24 113.7266 558.7809 33.9 0.647058823529412 -758.962235649547 0.847914831726588 0.298083298014712
"16" 13.24 82.558 558.7809 33.9 0.529411764705882 -523.549848942598 0.907297064915107 0.41062041231619
"17" 13.24 75.6856 558.7809 33.9 0.529411764705882 -471.643504531722 0.920390320928043 0.44790554610124
"18" 13.24 80.0736 558.7809 33.9 0.470588235294118 -504.785498489426 0.912030329166102 0.423360508332334
"19" 13.24 114.9529 558.7809 33.9 0.588235294117647 -768.224320241692 0.845578492187466 0.294903390867042
"20" 13.24 74.5866 558.7809 33.9 0.588235294117647 -463.342900302115 0.922484129256751 0.454505232843433
"21" 13.24 124.6526 558.7809 33.9 0.588235294117647 -841.484894259819 0.827098680862649 0.271955819613871
"22" 13.24 91.8356 558.7809 33.9 0.529411764705882 -593.622356495468 0.88962143602482 0.369137894237093
"23" 13.24 100.2529 558.7809 33.9 0.705882352941177 -657.197129909366 0.873584845628789 0.338144831720579
"24" 13.24 111.9346 558.7809 33.9 0.647058823529412 -745.42749244713 0.851328939574673 0.30285541735978
"25" 13.24 120.5766 558.7809 33.9 0.588235294117647 -810.699395770393 0.834864252061753 0.281149078676957
"26" 13.24 89.7889 558.7809 33.9 0.588235294117647 -578.163897280967 0.893520796813144 0.377552236412296
"27" 13.24 115.3546 558.7809 33.9 0.647058823529412 -771.2583081571 0.844813175712814 0.293876447059762
"28" 13.24 94.5826 558.7809 33.9 0.647058823529412 -614.370090634441 0.884387867800105 0.358416875831284
"29" 13.24 110.8619 558.7809 33.9 0.588235294117647 -737.325528700906 0.853372641298245 0.305785847076408
"30" 13.24 116.9719 558.7809 33.9 0.588235294117647 -783.473564954683 0.841731905276035 0.289813194450975
"31" 13.24 86.6796 558.7809 33.9 0.588235294117647 -554.679758308157 0.899444616864512 0.391095482674124
"32" 13.24 116.0179 558.7809 33.9 0.529411764705882 -776.268126888218 0.843549460458554 0.292196290400016
