"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 128.944 793.9416 1713.6256 47.8 0.75 -515.725896513215 0.552089006196087 0.0602059395804427
"2" 128.944 892.9386 1713.6256 47.8 0.833333333333333 -592.501085742648 0.492660816354365 0.0535311162492023
"3" 128.944 910.5076 1713.6256 47.8 0.729166666666667 -606.126380444224 0.482114094056425 0.052498188922311
"4" 128.944 789.2336 1713.6256 47.8 0.75 -512.07469909418 0.55491523242289 0.0605650849127559
"5" 128.944 656.9876 1713.6256 47.8 0.75 -409.513897505894 0.634302894612737 0.07275631990619
"6" 128.944 785.0626 1713.6256 47.8 0.645833333333333 -508.839961533689 0.557419095972592 0.0608868643086551
"7" 128.944 851.2066 1713.6256 47.8 0.6875 -560.136648467552 0.517712658515993 0.0561555796207407
"8" 128.944 678.1566 1713.6256 47.8 0.75 -425.931101873682 0.62159508174205 0.0704851947175623
"9" 128.944 695.0356 1713.6256 47.8 0.729166666666667 -439.0212805559 0.611462568470553 0.068773455633064
"10" 128.944 896.3126 1713.6256 47.8 0.791666666666667 -595.117725524259 0.490635394245352 0.0533296084424117
"11" 128.944 876.3256 1713.6256 47.8 0.8125 -579.617198163544 0.502633649044654 0.0545459358941471
"12" 128.944 855.2976 1713.6256 47.8 0.729166666666667 -563.309343591016 0.515256819201242 0.0558869801575498
"13" 128.944 746.4886 1713.6256 47.8 0.729166666666667 -478.924649460231 0.580575181459572 0.0640331279004127
"14" 128.944 799.7316 1713.6256 47.8 0.645833333333333 -520.216217893039 0.548613252191586 0.0597700528527321
"15" 128.944 634.3716 1713.6256 47.8 0.75 -391.974500558382 0.647879345833081 0.075350157541731
"16" 128.944 842.5646 1713.6256 47.8 0.729166666666667 -553.434514207718 0.522900476496459 0.0567315550641458
"17" 128.944 745.8943 1713.6256 47.8 0.666666666666667 -478.463751706167 0.580931941494956 0.0640841470433545
"18" 128.944 915.6086 1713.6256 47.8 0.791666666666667 -610.082361335153 0.47905194877543 0.0522057132272458
"19" 128.944 855.3686 1713.6256 47.8 0.708333333333333 -563.364406253878 0.515214197692724 0.0558823412503101
"20" 128.944 850.2916 1713.6256 47.8 0.708333333333333 -559.427038094056 0.518261935703233 0.0562160087198321
