"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 223.73 1328.4 2131.5 171.4 0.68 -493.751396772896 0.409723993673792 0.129027401385125
"2" 223.73 1520.4 2131.5 171.4 0.72 -579.569123497072 0.311769807662874 0.11273349118653
"3" 223.73 1175.9 2131.5 171.4 0.72 -425.588879452912 0.487526146625172 0.145760693936559
"4" 223.73 1544.2 2131.5 171.4 0.8 -590.206945872257 0.299627570021938 0.110995984976039
"5" 223.73 1457.6 2131.5 171.4 0.72 -551.499575381039 0.343808989337279 0.117590559824369
"6" 223.73 1423 2131.5 171.4 0.68 -536.03450587762 0.361461149941329 0.120449754040759
"7" 223.73 1187.5 2131.5 171.4 0.64 -430.773700442498 0.481608081220346 0.144336842105263
"8" 223.73 1216.4 2131.5 171.4 0.64 -443.691056183793 0.466863935513494 0.140907596185465
"9" 223.73 1103.6 2131.5 171.4 0.64 -393.273141733339 0.524412019794908 0.155309894889453
"10" 223.73 1279.4 2131.5 171.4 0.6 -471.849997765163 0.434722718228662 0.133969047991246
"11" 223.73 1251.1 2131.5 171.4 0.68 -459.200822419881 0.449160757104229 0.136999440492367
"12" 223.73 1173.05 2131.5 171.4 0.64 -424.31502257185 0.488980154073772 0.146114828864925
"13" 223.73 1184.4 2131.5 171.4 0.72 -429.388101729763 0.48318963318198 0.144714623438028
"14" 223.73 1509.5 2131.5 171.4 0.72 -574.697179636168 0.317330748431202 0.113547532295462
"15" 223.73 999.7 2131.5 171.4 0.64 -346.833236490413 0.577419519412275 0.171451435430629
"16" 223.73 1459.9 2131.5 171.4 0.68 -552.527600232423 0.342635579817356 0.117405301732995
"17" 223.73 1444 2131.5 171.4 0.72 -545.420819738077 0.350747410846385 0.118698060941828
"18" 223.73 1189.1 2131.5 171.4 0.64 -431.488848165199 0.480791796336921 0.144142628878984
"19" 223.73 1366.3 2131.5 171.4 0.76 -510.691458454387 0.390388245497679 0.125448291004904
"20" 223.73 1129.6 2131.5 171.4 0.68 -404.894292227238 0.511147390439263 0.151735127478754
"21" 223.73 1216.7 2131.5 171.4 0.76 -443.825146381799 0.466710882097852 0.140872852798553
"22" 223.73 1314.05 2131.5 171.4 0.68 -487.337415634917 0.417045048722004 0.130436436969674
"23" 223.73 899 2131.5 171.4 0.64 -301.823626692889 0.628794449262793 0.190656284760845
"24" 223.73 1092.3 2131.5 171.4 0.6 -388.22241094176 0.530177031784093 0.156916598004211
"25" 223.73 1359.7 2131.5 171.4 0.76 -507.741474098243 0.393755420641804 0.126057218504082
"26" 223.73 1498.7 2131.5 171.4 0.76 -569.869932507934 0.322840671394317 0.114365783679189
