"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 48 661.73 750.93 134.83 0.875 -1278.60416666667 0.144781691283882 0.203753796865791
"2" 48 622.93 750.93 134.83 0.75 -1197.77083333333 0.207758480766109 0.216444865394186
"3" 48 604.93 750.93 134.83 0.75 -1160.27083333333 0.236974517123844 0.222885292513183
"4" 48 537.63 750.93 134.83 0.75 -1020.0625 0.346210030839149 0.250785856444023
"5" 48 628.63 750.93 134.83 0.75 -1209.64583333333 0.198506735919494 0.214482286877814
"6" 48 650.63 750.93 134.83 0.75 -1255.47916666667 0.162798247037818 0.207229915620245
"7" 48 739.93 750.93 134.83 0.875 -1441.52083333333 0.0178542444408375 0.182219939724028
"8" 48 683.63 750.93 134.83 0.875 -1324.22916666667 0.109235513715306 0.197226569928177
"9" 48 661.73 750.93 134.83 0.875 -1278.60416666667 0.144781691283882 0.203753796865791
"10" 48 611.93 750.93 134.83 0.75 -1174.85416666667 0.225612725206947 0.220335659307437
"11" 48 661.73 750.93 134.83 0.875 -1278.60416666667 0.144781691283882 0.203753796865791
"12" 48 672.63 750.93 134.83 0.75 -1301.3125 0.127089758156143 0.200451957242466
"13" 48 616.33 750.93 134.83 0.875 -1184.02083333333 0.218471027430612 0.218762675839242
"14" 48 661.23 750.93 134.83 0.75 -1277.5625 0.145593247849375 0.203907868668996
"15" 48 672.23 750.93 134.83 0.875 -1300.47916666667 0.127739003408537 0.200571233060113
"16" 48 594.33 750.93 134.83 0.75 -1138.1875 0.254179516312287 0.226860498376323
"17" 48 672.63 750.93 134.83 0.75 -1301.3125 0.127089758156143 0.200451957242466
"18" 48 572.53 750.93 134.83 0.875 -1092.77083333333 0.289563382567765 0.235498576493808
"19" 48 528.53 750.93 134.83 0.75 -1001.10416666667 0.360980360331115 0.255103778404253
"20" 48 560.53 750.93 134.83 0.75 -1067.77083333333 0.309040740139588 0.24054020302214
"21" 48 616.33 750.93 134.83 0.875 -1184.02083333333 0.218471027430612 0.218762675839242
"22" 48 606.23 750.93 134.83 0.75 -1162.97916666667 0.234864470053563 0.222407337149267
"23" 48 319.63 750.93 134.83 0.75 -565.895833333333 0.700048693393929 0.421831492663392
"24" 48 600.93 750.93 134.83 0.75 -1151.9375 0.243466969647784 0.224368894879603
"25" 48 661.73 750.93 134.83 0.875 -1278.60416666667 0.144781691283882 0.203753796865791
"26" 48 728.93 750.93 134.83 0.875 -1418.60416666667 0.0357084888816751 0.184969750181773
"27" 48 661.73 750.93 134.83 0.875 -1278.60416666667 0.144781691283882 0.203753796865791
"28" 48 616.33 750.93 134.83 0.875 -1184.02083333333 0.218471027430612 0.218762675839242
"29" 48 739.93 750.93 134.83 0.875 -1441.52083333333 0.0178542444408375 0.182219939724028
"30" 48 672.23 750.93 134.83 0.875 -1300.47916666667 0.127739003408537 0.200571233060113
"31" 48 639.63 750.93 134.83 0.75 -1232.5625 0.180652491478656 0.210793740131013
"32" 48 528.53 750.93 134.83 0.75 -1001.10416666667 0.360980360331115 0.255103778404253
"33" 48 656.13 750.93 134.83 0.875 -1266.9375 0.1538711248174 0.20549281392407
"34" 48 728.93 750.93 134.83 0.875 -1418.60416666667 0.0357084888816751 0.184969750181773
"35" 48 583.33 750.93 134.83 0.75 -1115.27083333333 0.272033760753124 0.231138463648364
"36" 48 628.23 750.93 134.83 0.75 -1208.8125 0.199155981171888 0.214618849784315
"37" 48 655.93 750.93 134.83 0.875 -1266.52083333333 0.154195747443597 0.205555470858171
"38" 48 650.23 750.93 134.83 0.75 -1254.64583333333 0.163447492290212 0.207357396613506
