"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 43.577 510.072 510.272 83.6 0.875 -1070.50737774514 0.000468744140698085 0.163898430025565
"2" 43.577 429.06 510.272 83.6 0.75 -884.601968928563 0.190338245771928 0.194844543886636
"3" 43.577 510.072 510.272 83.6 0.875 -1070.50737774514 0.000468744140698085 0.163898430025565
"4" 43.577 426.172 510.272 83.6 0.75 -877.9746196388 0.19710691116361 0.196164928714228
"5" 43.577 413.712 510.272 83.6 0.625 -849.381554489754 0.226309671129111 0.202072939629501
"6" 43.577 246.412 510.272 83.6 0.5 -465.463432544691 0.61841414482319 0.339269191435482
"7" 43.577 510.072 510.272 83.6 0.75 -1070.50737774514 0.000468744140698085 0.163898430025565
"8" 43.577 366 510.272 83.6 0.625 -739.892603896551 0.338133273334083 0.228415300546448
"9" 43.577 426.472 510.272 83.6 0.75 -878.663056199371 0.196403794952563 0.196026937290139
"10" 43.577 278.96 510.272 83.6 0.5 -540.154209789568 0.542130723365958 0.299684542586751
"11" 43.577 428.86 510.272 83.6 0.75 -884.143011221516 0.190806989912626 0.194935410157161
"12" 43.577 446.812 510.272 83.6 0.75 -925.339055006081 0.148732515843552 0.18710330071708
"13" 43.577 509.772 510.272 83.6 0.75 -1069.81894118457 0.00117186035174532 0.163994883987351
"14" 43.577 363.312 510.272 83.6 0.625 -733.724212313835 0.344433194585068 0.230105253886467
"15" 43.577 510.172 510.272 83.6 0.875 -1070.73685659866 0.000234372070348932 0.16386630391319
"16" 43.577 426.472 510.272 83.6 0.75 -878.663056199371 0.196403794952563 0.196026937290139
"17" 43.577 393.072 510.272 83.6 0.625 -802.017119122473 0.274684066449169 0.212683681361176
"18" 43.577 428.76 510.272 83.6 0.625 -883.913532367992 0.191041361982975 0.194980875081631
"19" 43.577 509.972 510.272 83.6 0.75 -1070.27789889162 0.000703116211047239 0.163930568737107
"20" 43.577 447.012 510.272 83.6 0.75 -925.798012713128 0.148263771702853 0.187019587841042
"21" 43.577 380.312 510.272 83.6 0.625 -772.735617412855 0.304589942625717 0.219819516607417
"22" 43.577 342.672 510.272 83.6 0.75 -686.359776946554 0.392807589905126 0.243965074473549
"23" 43.577 348.148 510.272 83.6 0.75 -698.926038965509 0.379973375332808 0.240127761756494
