"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 79.49 647.19 1515.96 147.6 0.642857142857143 -714.177884010568 0.634898710865562 0.228062856348213
"2" 79.49 699.81 1515.96 147.6 0.714285714285714 -780.374889923261 0.596443918267123 0.210914391048999
"3" 79.49 666.86 1515.96 147.6 0.571428571428571 -738.923134985533 0.620523838755883 0.221335812614342
"4" 79.49 722.99 1515.96 147.6 0.571428571428571 -809.535790665493 0.579503931713876 0.20415220127526
"5" 79.49 832.06 1515.96 147.6 0.714285714285714 -946.748018618694 0.499795375485983 0.177391053529794
"6" 79.49 804.46 1515.96 147.6 0.642857142857143 -912.026670021387 0.519965506153351 0.18347711508341
"7" 79.49 881.96 1515.96 147.6 0.714285714285714 -1009.52321046673 0.46332836388085 0.167354528550048
"8" 79.49 608.82 1515.96 147.6 0.5 -665.907661341049 0.662939577304218 0.242436188035873
"9" 79.49 621.86 1515.96 147.6 0.571428571428571 -682.312240533401 0.653409921365723 0.237352458752774
"10" 79.49 604.56 1515.96 147.6 0.642857142857143 -660.548496666247 0.666052793124616 0.244144501786423
"11" 79.49 808.16 1515.96 147.6 0.785714285714286 -916.681343565229 0.517261539360987 0.182637101564047
"12" 79.49 753.26 1515.96 147.6 0.714285714285714 -847.616052333627 0.557382560144991 0.19594827815097
"13" 79.49 668.21 1515.96 147.6 0.571428571428571 -740.621461819097 0.619537256277588 0.220888642791937
"14" 79.49 631.82 1515.96 147.6 0.642857142857143 -694.842118505473 0.646131135081411 0.233610838529961
"15" 79.49 783.32 1515.96 147.6 0.714285714285714 -885.432129827651 0.535414656961618 0.188428739212582
"16" 79.49 687.24 1515.96 147.6 0.642857142857143 -764.561580072965 0.605630097342804 0.214772132006286
"17" 79.49 970.36 1515.96 147.6 0.785714285714286 -1120.73216756825 0.39872548159841 0.152108495815986
"18" 79.49 705.11 1515.96 147.6 0.571428571428571 -787.042395269846 0.592570668537519 0.209329040858873
"19" 79.49 635.51 1515.96 147.6 0.571428571428571 -699.484211850547 0.643434476307404 0.232254409844062
"20" 79.49 504.16 1515.96 147.6 0.642857142857143 -534.243301044157 0.739425297436347 0.292764201840686
"21" 79.49 815.66 1515.96 147.6 0.714285714285714 -926.116492640584 0.51178052559268 0.180957752004512
"22" 79.49 633.96 1515.96 147.6 0.5 -697.53428104164 0.644567219152855 0.2328222600795
"23" 79.49 706.36 1515.96 147.6 0.571428571428571 -788.614920115738 0.591657166242802 0.208958604677502
"24" 79.49 771.38 1515.96 147.6 0.714285714285714 -870.411372499686 0.544140430880762 0.191345381005471
"25" 79.49 674.06 1515.96 147.6 0.642857142857143 -747.980878097874 0.615262065538309 0.218971604901641
"26" 79.49 815.86 1515.96 147.6 0.642857142857143 -926.368096615927 0.511634365225525 0.18091339200353
"27" 79.49 546.91 1515.96 147.6 0.571428571428571 -588.023650773682 0.708183518957 0.269879870545428
"28" 79.49 924.16 1515.96 147.6 0.785714285714286 -1062.61164926406 0.432488526411178 0.159712603878116
"29" 79.49 911.46 1515.96 147.6 0.714285714285714 -1046.63479682979 0.441769709725511 0.161937989599105
