"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 14.609 189.107 323.3956 28.1 0.666666666666667 -1194.45547265384 0.454759908376556 0.148593124527384
"2" 14.609 93.9133 323.3956 28.1 0.666666666666667 -542.845506194811 0.777127393703123 0.299212145670528
"3" 14.609 122.9716 323.3956 28.1 0.833333333333333 -741.752344445205 0.678723286090277 0.228508045760159
"4" 14.609 46.6706 323.3956 28.1 0.583333333333333 -219.464713532754 0.937111829637827 0.602092109379352
"5" 14.609 140.3196 323.3956 28.1 0.666666666666667 -860.501060989801 0.619975373828801 0.200257127300819
"6" 14.609 166.7826 323.3956 28.1 0.583333333333333 -1041.64282291738 0.530360086638609 0.168482803361981
"7" 14.609 216.0133 323.3956 28.1 0.666666666666667 -1378.63166541173 0.363643413582864 0.130084582754858
"8" 14.609 216.025 323.3956 28.1 0.75 -1378.71175302895 0.363603792267816 0.130077537322069
"9" 14.609 221.0076 323.3956 28.1 0.833333333333333 -1412.81812581286 0.3467305303567 0.127144948861487
"10" 14.609 172.5776 323.3956 28.1 0.75 -1081.31015127661 0.510735683159519 0.162825302936186
"11" 14.609 98.5076 323.3956 28.1 0.75 -574.293928400301 0.761569085350408 0.285257178126358
"12" 14.609 162.7896 323.3956 28.1 0.666666666666667 -1014.31035662947 0.543882130312812 0.172615449635603
"13" 14.609 194.5016 323.3956 28.1 0.75 -1231.38202477925 0.436491434345788 0.144471819254957
"14" 14.609 44.8943 323.3956 28.1 0.583333333333333 -207.305770415497 0.943127158007095 0.625914648407482
"15" 14.609 121.6136 323.3956 28.1 0.666666666666667 -732.456704771032 0.683322067785636 0.231059684114277
"16" 14.609 99.3073 323.3956 28.1 0.833333333333333 -579.76795126292 0.758860951534666 0.282960064365862
"17" 14.609 122.5656 323.3956 28.1 0.75 -738.973235676638 0.680098179586828 0.229264981365081
"18" 14.609 122.0133 323.3956 28.1 0.75 -735.192689438018 0.681968508843342 0.230302762075938
"19" 14.609 90.5313 323.3956 28.1 0.666666666666667 -519.695393250736 0.788580324258133 0.310389887254463
"20" 14.609 245.0526 323.3956 28.1 0.833333333333333 -1577.40844684783 0.265303648276507 0.114669258763221
"21" 14.609 190.5003 323.3956 28.1 0.666666666666667 -1203.99274419878 0.450041585448615 0.147506329386358
"22" 14.609 115.5283 323.3956 28.1 0.666666666666667 -690.80224519132 0.703929553979131 0.243230446565906
"23" 14.609 42.731 323.3956 28.1 0.666666666666667 -192.497775343966 0.950453037566425 0.657602209168987
"24" 14.609 145.7136 323.3956 28.1 0.666666666666667 -897.42350605791 0.601708931660343 0.192844044756289
"25" 14.609 196.9076 323.3956 28.1 0.75 -1247.85132452598 0.428343666481993 0.142706528341212
"26" 14.609 163.364 323.3956 28.1 0.75 -1018.2421794784 0.541936960794539 0.172008520849147
"27" 14.609 168.0076 323.3956 28.1 0.75 -1050.02806489151 0.526211701088672 0.167254338494211
"28" 14.609 122.7953 323.3956 28.1 0.75 -740.54555411048 0.67932031496575 0.228836119949216
"29" 14.609 73.6073 323.3956 28.1 0.75 -403.848997193511 0.845892387153754 0.381755613913294
"30" 14.609 48.1133 323.3956 28.1 0.666666666666667 -229.340132794853 0.932226216713016 0.584038093416997
"31" 14.609 197.4596 323.3956 28.1 0.75 -1251.62981723595 0.426474353156634 0.142307591021151
"32" 14.609 245.2826 323.3956 28.1 0.75 -1578.98281881032 0.264524767724273 0.114561734097731
"33" 14.609 69.2193 323.3956 28.1 0.666666666666667 -373.812718187419 0.860752073515488 0.405956142289795
"34" 14.609 267.9883 323.3956 28.1 0.833333333333333 -1734.40550345677 0.187633340964105 0.104855323907797
"35" 14.609 90.3367 323.3956 28.1 0.75 -518.36333766856 0.789239324934066 0.31105851774528
"36" 14.609 217.5763 323.3956 28.1 0.666666666666667 -1389.33054966117 0.358350412264863 0.129150095851432
"37" 14.609 193.0893 323.3956 28.1 0.666666666666667 -1221.71469642002 0.441274099580217 0.145528519705649
"38" 14.609 216.4253 323.3956 28.1 0.75 -1381.45184475323 0.362248201463212 0.129836946050208
"39" 14.609 68.3956 323.3956 28.1 0.666666666666667 -368.174413033062 0.863541481823637 0.410845142085163
"40" 14.609 94.4646 323.3956 28.1 0.666666666666667 -546.619207337942 0.775260450883792 0.29746592903585
"41" 14.609 193.6886 323.3956 28.1 0.75 -1225.81696214662 0.439244607776072 0.14507823382481
"42" 14.609 94.2836 323.3956 28.1 0.583333333333333 -545.380245054419 0.775873396014028 0.298036986283935
"43" 14.609 216.1706 323.3956 28.1 0.666666666666667 -1379.70839893217 0.36311072701388 0.129989924624348
"44" 14.609 164.7336 323.3956 28.1 0.666666666666667 -1027.61722226025 0.537298896427851 0.17057843694304
"45" 14.609 119.9586 323.3956 28.1 0.583333333333333 -721.128071736601 0.68892662132453 0.234247482047973
"46" 14.609 115.2063 323.3956 28.1 0.583333333333333 -688.598124443836 0.705019986752258 0.243910272268096
"47" 14.609 113.5513 323.3956 28.1 0.583333333333333 -677.269491409405 0.710624540291152 0.247465242581987
"48" 14.609 139.4386 323.3956 28.1 0.666666666666667 -854.47053186392 0.622958824987572 0.201522390500191
"49" 14.609 89.2823 323.3956 28.1 0.416666666666667 -511.145868984872 0.792809984300477 0.314732035353032
"50" 14.609 136.276 323.3956 28.1 0.583333333333333 -832.822232870149 0.633668771224495 0.206199184008923
"51" 14.609 167.8073 323.3956 28.1 0.583333333333333 -1048.65699226504 0.526890004456551 0.1674539784622
"52" 14.609 195.2833 323.3956 28.1 0.75 -1236.73283592306 0.43384425639935 0.143893512655716
"53" 14.609 197.2766 323.3956 28.1 0.75 -1250.37716476145 0.427094071161236 0.142439600033658
"54" 14.609 141.8886 323.3956 28.1 0.583333333333333 -871.241015812171 0.614662053887698 0.198042689828499
"55" 14.609 118.1956 323.3956 28.1 0.75 -709.060168389349 0.694896910079256 0.237741506452017
"56" 14.609 218.9883 323.3956 28.1 0.75 -1398.99582449175 0.353568762961588 0.12831735759399
"57" 14.609 93.9073 323.3956 28.1 0.583333333333333 -542.804435621877 0.777147712326225 0.299231263171234
"58" 14.609 219.0016 323.3956 28.1 0.75 -1399.08686426176 0.353523723347046 0.128309564861627
"59" 14.609 171.5656 323.3956 28.1 0.75 -1074.38291464166 0.514162757589344 0.163785747259357
"60" 14.609 218.6013 323.3956 28.1 0.666666666666667 -1396.34677253748 0.35487931415165 0.128544523751689
"61" 14.609 167.0133 323.3956 28.1 0.583333333333333 -1043.22198644671 0.529578835580347 0.168250073497141
"62" 14.609 126.9956 323.3956 28.1 0.833333333333333 -769.297008693271 0.665096262863382 0.221267508480609
"63" 14.609 245.2953 323.3956 28.1 0.75 -1579.06975152303 0.264481759972041 0.114555802740615
"64" 14.609 163.581 323.3956 28.1 0.75 -1019.72756519953 0.541202103925693 0.171780341237674
"65" 14.609 197.2766 323.3956 28.1 0.75 -1250.37716476145 0.427094071161236 0.142439600033658
"66" 14.609 222.1896 323.3956 28.1 0.666666666666667 -1420.90902868095 0.342727761605659 0.126468565585428
"67" 14.609 220.3826 323.3956 28.1 0.666666666666667 -1408.53994113218 0.348847053596464 0.127505529020894
"68" 14.609 111.7443 323.3956 28.1 0.583333333333333 -664.900403860634 0.716743832281957 0.251466965205384
"69" 14.609 89.9073 323.3956 28.1 0.416666666666667 -515.424053665549 0.790693461060713 0.312544142689192
"70" 14.609 71.5766 323.3956 28.1 0.666666666666667 -389.948661783832 0.852769225142535 0.392586403936482
"71" 14.609 96.8836 323.3956 28.1 0.666666666666667 -563.177493326032 0.767068659336611 0.29003876817129
"72" 14.609 221.0076 323.3956 28.1 0.833333333333333 -1412.81812581286 0.3467305303567 0.127144948861487
"73" 14.609 122.9956 323.3956 28.1 0.75 -741.916626736943 0.67864201159787 0.228463457229364
"74" 14.609 194.8576 323.3956 28.1 0.75 -1233.81887877336 0.435285862708418 0.144207872826105
"75" 14.609 194.7133 323.3956 28.1 0.666666666666667 -1232.83113149428 0.435774525594015 0.144314743779701
"76" 14.609 272.9836 323.3956 28.1 0.833333333333333 -1768.59880895339 0.170717071300757 0.102936586666745
"77" 14.609 221.8076 323.3956 28.1 0.833333333333333 -1418.29420220412 0.344021380609802 0.126686371431817
"78" 14.609 218.5886 323.3956 28.1 0.75 -1396.25983982477 0.354922321903882 0.128551992189895
"79" 14.609 272.6016 323.3956 28.1 0.833333333333333 -1765.98398247656 0.172010690304901 0.103080832981171
"80" 14.609 96.4706 323.3956 28.1 0.583333333333333 -560.350468889041 0.768467257893446 0.291280452282872
"81" 14.609 189.8766 323.3956 28.1 0.583333333333333 -1199.72345814224 0.45215370632004 0.147990853006637
"82" 14.609 247.0896 323.3956 28.1 0.75 -1591.35190635909 0.258405475733468 0.113723928485861
"83" 14.609 192.6826 323.3956 28.1 0.666666666666667 -1218.93079608461 0.442651363582796 0.145835690404842
"84" 14.609 189.119 323.3956 28.1 0.75 -1194.53761379971 0.454719271130352 0.14858369597978
"85" 14.609 87.2886 323.3956 28.1 0.75 -497.498802108289 0.799561524113465 0.321920617354385
"86" 14.609 244.8953 323.3956 28.1 0.75 -1576.3317133274 0.26583633484549 0.114742912583459
"87" 14.609 44.125 323.3956 28.1 0.666666666666667 -202.039838455746 0.945732344132456 0.636827195467422
"88" 14.609 242.7076 323.3956 28.1 0.75 -1561.35669792594 0.2732448434721 0.115777173850345
"89" 14.609 246.0776 323.3956 28.1 0.833333333333333 -1584.42466972414 0.261832550163294 0.11419162085456
"90" 14.609 98.2826 323.3956 28.1 0.75 -572.753781915258 0.762331033716723 0.285910222155295
"91" 14.609 90.8886 323.3956 28.1 0.666666666666667 -522.141145868985 0.787370350252425 0.309169686847415
"92" 14.609 119.4076 323.3956 28.1 0.666666666666667 -717.356424122116 0.690792548212706 0.235328404557164
"93" 14.609 142.9136 323.3956 28.1 0.666666666666667 -878.25723868848 0.611190955774485 0.196622294869068
"94" 14.609 123.7896 323.3956 28.1 0.666666666666667 -747.351632555274 0.675953180474074 0.226998067689047
"95" 14.609 216.9526 323.3956 28.1 0.75 -1385.06126360463 0.360462533136288 0.129521379324332
"96" 14.609 122.0016 323.3956 28.1 0.75 -735.112601820795 0.68200813015839 0.230324848198712
"97" 14.609 120.9886 323.3956 28.1 0.75 -728.178520090355 0.6854385910254 0.23225328667329
"98" 14.609 90.531 323.3956 28.1 0.666666666666667 -519.693339722089 0.788581340189288 0.310390915818891
"99" 14.609 185.5304 323.3956 28.1 0.833333333333333 -1169.97330412759 0.466871839607498 0.151457658690975
"100" 14.609 219.9826 323.3956 28.1 0.75 -1405.80190293655 0.350201628469913 0.127737375592433
"101" 14.609 41.8336 323.3956 28.1 0.583333333333333 -186.354986652064 0.953492026295007 0.671708865600857
"102" 14.609 147.0896 323.3956 28.1 0.75 -906.842357450887 0.597049194095679 0.191040019144793
"103" 14.609 46.0716 323.3956 28.1 0.666666666666667 -215.364501334794 0.939140305510817 0.609920211149602
"104" 14.609 97.0956 323.3956 28.1 0.666666666666667 -564.628653569717 0.766350734653683 0.289405493142841
"105" 14.609 91.7003 323.3956 28.1 0.5 -527.697309877473 0.784621579190479 0.306433021484117
"106" 14.609 272.9836 323.3956 28.1 0.833333333333333 -1768.59880895339 0.170717071300757 0.102936586666745
"107" 14.609 241.6953 323.3956 28.1 0.75 -1554.42740776234 0.276672933833081 0.116262087016173
"108" 14.609 199.0836 323.3956 28.1 0.75 -1262.74625231022 0.420974779170431 0.141146734336731
"109" 14.609 188.0706 323.3956 28.1 0.666666666666667 -1187.36121568896 0.458269611873661 0.149411976140875
"110" 14.609 196.0656 323.3956 28.1 0.75 -1242.08775412417 0.431195046590603 0.14331937882015
"111" 14.609 218.5886 323.3956 28.1 0.666666666666667 -1396.25983982477 0.354922321903882 0.128551992189895
"112" 14.609 140.101 323.3956 28.1 0.666666666666667 -859.004723115887 0.62071564899714 0.200569589082162
"113" 14.609 171.7956 323.3956 28.1 0.75 -1075.95728660415 0.513383877037111 0.163566470852571
"114" 14.609 170.2133 323.3956 28.1 0.666666666666667 -1065.12629201177 0.518742236592757 0.165086982039594
"115" 14.609 164.7453 323.3956 28.1 0.666666666666667 -1027.69730987747 0.537259275112802 0.170566322681133
"116" 14.609 196.8476 323.3956 28.1 0.833333333333333 -1247.44061879663 0.42854685271301 0.142750025908368
"117" 14.609 220.3953 323.3956 28.1 0.666666666666667 -1408.62687384489 0.348804045844232 0.127498181676288
"118" 14.609 140.4753 323.3956 28.1 0.583333333333333 -861.566842357451 0.619448105559311 0.200035166324614
"119" 14.609 98.5073 323.3956 28.1 0.75 -574.291874871654 0.761570101281563 0.285258046865562
"120" 14.609 218.2076 323.3956 28.1 0.75 -1393.65185844343 0.356212554470842 0.128776449582874
"121" 14.609 38.5183 323.3956 28.1 0.583333333333333 -163.66144157711 0.96471908148987 0.729523369411423
