"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 75.23 469.4 622 86.7 0.666666666666667 -523.953210155523 0.285073790397908 0.184703877290158
"2" 75.23 438.8 622 86.7 0.666666666666667 -483.277947627276 0.342237997384644 0.197584320875114
"3" 75.23 472.2 622 86.7 0.75 -527.675129602552 0.279843078647487 0.183608640406607
"4" 75.23 415.8 622 86.7 0.583333333333333 -452.705037883823 0.385204558191668 0.208513708513709
"5" 75.23 500 622 86.7 0.75 -564.62847268377 0.227909583411171 0.1734
"6" 75.23 341.5 622 86.7 0.583333333333333 -353.941246843015 0.52400523071175 0.253879941434846
"7" 75.23 391.9 622 86.7 0.583333333333333 -420.935796889539 0.429852419204185 0.22122990558816
"8" 75.23 538.2 622 86.7 0.833333333333333 -615.40608799681 0.156547730244722 0.161092530657748
"9" 75.23 445.5 622 86.7 0.75 -492.183969161239 0.329721651410424 0.194612794612795
"10" 75.23 444.8 622 86.7 0.583333333333333 -491.253489299481 0.331029329348029 0.194919064748201
"11" 75.23 441.3 622 86.7 0.666666666666667 -486.601089990695 0.337567719036055 0.196464989802855
"12" 75.23 376.6 622 86.7 0.666666666666667 -400.598165625415 0.458434522697553 0.230217737652682
"13" 75.23 463.5 622 86.7 0.75 -516.110594177855 0.296095647300579 0.18705501618123
"14" 75.23 355.7 622 86.7 0.666666666666667 -372.816695467234 0.497478049691762 0.243744728703964
"15" 75.23 408 622 86.7 0.666666666666667 -442.336833709956 0.399775826639268 0.2125
"16" 75.23 455.4 622 86.7 0.666666666666667 -505.343612920377 0.311227349150009 0.19038208168643
"17" 75.23 391.3 622 86.7 0.583333333333333 -420.138242722318 0.430973286007846 0.221569128545873
"18" 75.23 364.4 622 86.7 0.583333333333333 -384.381230891931 0.48122548103867 0.237925356750823
"19" 75.23 370 622 86.7 0.583333333333333 -391.82506978599 0.470764057537829 0.234324324324324
"20" 75.23 307.3 622 86.7 0.666666666666667 -308.480659311445 0.587894638520456 0.282134721770257
"21" 75.23 320.5 622 86.7 0.5 -326.026850990296 0.563235568839903 0.270514820592824
"22" 75.23 332.8 622 86.7 0.583333333333333 -342.376711418317 0.540257799364842 0.260516826923077
"23" 75.23 507.2 622 86.7 0.75 -574.199122690416 0.214459181767233 0.170938485804416
"24" 75.23 322.1 622 86.7 0.75 -328.153662102885 0.560246590696805 0.269171064886681
"25" 75.23 432.4 622 86.7 0.666666666666667 -474.770703176924 0.354193909957033 0.200508788159112
"26" 75.23 544 622 86.7 0.916666666666667 -623.115778279941 0.145712684475995 0.159375
"27" 75.23 467.6 622 86.7 0.75 -521.560547653861 0.288436390808892 0.185414884516681
"28" 75.23 416.1 622 86.7 0.583333333333333 -453.103814967433 0.384644124789838 0.208363374188897
"29" 75.23 414.1 622 86.7 0.666666666666667 -450.445301076698 0.388380347468709 0.209369717459551
"30" 75.23 469.3 622 86.7 0.75 -523.820284460986 0.285260601531851 0.18474323460473
"31" 75.23 381.9 622 86.7 0.583333333333333 -407.643227435863 0.448533532598543 0.227022780832679
"32" 75.23 454.8 622 86.7 0.583333333333333 -504.546058753157 0.312348215953671 0.190633245382586
"33" 75.23 401.8 622 86.7 0.75 -434.095440648677 0.41135811694377 0.215778994524639
"34" 75.23 370 622 86.7 0.666666666666667 -391.825069785989 0.470764057537829 0.234324324324324
"35" 75.23 280.4 622 86.7 0.666666666666667 -272.723647481058 0.63814683355128 0.309201141226819
"36" 75.23 442 622 86.7 0.666666666666667 -487.531569852452 0.336260041098449 0.196153846153846
"37" 75.23 419.2 622 86.7 0.666666666666667 -457.224511498072 0.378852979637586 0.206822519083969
"38" 75.23 446.2 622 86.7 0.75 -493.114449022996 0.328413973472819 0.194307485432541
"39" 75.23 423.2 622 86.7 0.666666666666667 -462.541539279543 0.371380534279843 0.204867674858223
"40" 75.23 490.8 622 86.7 0.75 -552.399308786388 0.245096207733981 0.176650366748166
"41" 75.23 491.4 622 86.7 0.75 -553.196862953609 0.243975340930319 0.176434676434676
"42" 75.23 283.1 622 86.7 0.416666666666667 -276.31264123355 0.633102932934803 0.306252207700459
"43" 75.23 375.9 622 86.7 0.583333333333333 -399.667685763658 0.459742200635158 0.230646448523543
"44" 75.23 369.8 622 86.7 0.583333333333333 -391.559218396916 0.471137679805716 0.234451054624121
"45" 75.23 475.1 622 86.7 0.75 -531.529974744118 0.274425555763123 0.182487897284782
"46" 75.23 435 622 86.7 0.666666666666667 -478.22677123488 0.3493368204745 0.199310344827586
"47" 75.23 296.2 622 86.7 0.333333333333333 -293.725907217865 0.608630674388194 0.292707629979743
"48" 75.23 439.3 622 86.7 0.666666666666667 -483.94257609996 0.341303941714926 0.197359435465513
"49" 75.23 373.1 622 86.7 0.666666666666667 -395.945766316629 0.464972912385578 0.232377378718842
"50" 75.23 512.4 622 86.7 0.75 -581.111258806327 0.204745002802167 0.1692037470726
"51" 75.23 376.9 622 86.7 0.583333333333333 -400.996942709026 0.457874089295722 0.230034491907668
"52" 75.23 385 622 86.7 0.666666666666667 -411.763923966503 0.442742387446292 0.225194805194805
"53" 75.23 476 622 86.7 0.666666666666667 -532.726305994949 0.272744255557631 0.182142857142857
"54" 75.23 468.4 622 86.7 0.666666666666667 -522.623953210155 0.286941901737344 0.185098206660974
"55" 75.23 445.3 622 86.7 0.666666666666667 -491.918117772165 0.330095273678311 0.194700202110936
"56" 75.23 428.4 622 86.7 0.75 -469.453675395454 0.361666355314777 0.202380952380952
"57" 75.23 424.3 622 86.7 0.666666666666667 -464.003721919447 0.369325611806464 0.20433655432477
"58" 75.23 441.8 622 86.7 0.666666666666667 -487.265718463379 0.336633663366337 0.196242643730195
"59" 75.23 411.2 622 86.7 0.583333333333333 -446.590455935132 0.393797870353073 0.210846303501946
"60" 75.23 482.6 622 86.7 0.75 -541.499401834375 0.260414720717355 0.179651885619561
"61" 75.23 503.4 622 86.7 0.833333333333333 -569.147946298019 0.22155800485709 0.17222884386174
"62" 75.23 445.1 622 86.7 0.75 -491.652266383092 0.330468895946198 0.194787688159964
"63" 75.23 371.1 622 86.7 0.583333333333333 -393.287252425894 0.46870913506445 0.233629749393694
"64" 75.23 360.1 622 86.7 0.5 -378.665426026851 0.489258359798244 0.240766453762844
"65" 75.23 439.2 622 86.7 0.666666666666667 -483.809650405423 0.34149075284887 0.197404371584699
"66" 75.23 410.1 622 86.7 0.583333333333333 -445.128273295228 0.395852792826452 0.211411850768105
"67" 75.23 390 622 86.7 0.666666666666667 -418.41020869334 0.433401830749113 0.222307692307692
"68" 75.23 373 622 86.7 0.583333333333333 -395.812840622092 0.465159723519522 0.232439678284182
"69" 75.23 195 622 86.7 0.5 -159.20510434667 0.7976835419391 0.444615384615385
"70" 75.23 427.9 622 86.7 0.75 -468.78904692277 0.362600410984495 0.202617433979902
"71" 75.23 486.6 622 86.7 0.75 -546.816429615845 0.252942275359611 0.178175092478422
"72" 75.23 227 622 86.7 0.416666666666667 -201.741326598431 0.737903979077153 0.381938325991189
"73" 75.23 391.8 622 86.7 0.666666666666667 -420.802871195002 0.430039230338128 0.221286370597243
"74" 75.23 391.4 622 86.7 0.666666666666667 -420.271168416855 0.430786474873902 0.221512519161983
"75" 75.23 439.7 622 86.7 0.666666666666667 -484.474278878107 0.340556697179152 0.197179895383216
"76" 75.23 339 622 86.7 0.583333333333333 -350.618104479596 0.52867550906034 0.255752212389381
"77" 75.23 347 622 86.7 0.583333333333333 -361.252160042536 0.513730618344853 0.24985590778098
"78" 75.23 197.3 622 86.7 0.5 -162.262395321016 0.793386885858397 0.439432336543335
"79" 75.23 452.6 622 86.7 0.666666666666667 -501.621693473348 0.31645806090043 0.191559876270437
"80" 75.23 298.1 622 86.7 0.416666666666667 -296.251495414063 0.605081262843266 0.290841999329084
"81" 75.23 349.4 622 86.7 0.583333333333333 -364.442376711418 0.509247151130207 0.24813966800229
"82" 75.23 308 622 86.7 0.5 -309.411139173202 0.586586960582851 0.281493506493507
"83" 75.23 438.2 622 86.7 0.666666666666667 -482.480393460056 0.343358864188306 0.197854860794158
"84" 75.23 469.8 622 86.7 0.75 -524.48491293367 0.284326545862133 0.184546615581098
"85" 75.23 433.4 622 86.7 0.666666666666667 -476.099960122292 0.352325798617598 0.200046146746654
"86" 75.23 296.4 622 86.7 0.333333333333333 -293.991758606939 0.608257052120306 0.29251012145749
"87" 75.23 399.7 622 86.7 0.666666666666667 -431.304001063405 0.415281150756585 0.216912684513385
"88" 75.23 474 622 86.7 0.666666666666667 -530.067792104214 0.276480478236503 0.182911392405063
