"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 37.2 1013.2 1089.1 157.4 0.888888888888889 -2623.6559139785 0.0814639905548995 0.155349388077379
"2" 37.2 937.3 1089.1 157.4 0.777777777777778 -2419.62365591398 0.162927981109799 0.16792915822042
"3" 37.2 500 1089.1 157.4 0.555555555555556 -1244.08602150538 0.632285070301599 0.3148
"4" 37.2 580.3 1089.1 157.4 0.555555555555556 -1459.94623655914 0.546098529569604 0.271239014302947
"5" 37.2 937.3 1089.1 157.4 0.888888888888889 -2419.62365591398 0.162927981109799 0.16792915822042
"6" 37.2 493.4 1089.1 157.4 0.666666666666667 -1226.34408602151 0.639368895567243 0.319010944466964
"7" 37.2 690.9 1089.1 157.4 0.777777777777778 -1757.25806451613 0.427390791027154 0.227818787089304
"8" 37.2 578.6 1089.1 157.4 0.777777777777778 -1455.37634408602 0.547923151228936 0.272035948842032
"9" 37.2 431 1089.1 157.4 0.555555555555556 -1058.60215053763 0.706343243533326 0.365197215777262
"10" 37.2 1013.2 1089.1 157.4 0.888888888888889 -2623.6559139785 0.0814639905548995 0.155349388077379
"11" 37.2 877 1089.1 157.4 0.888888888888889 -2257.52688172043 0.227648384673178 0.179475484606613
"12" 37.2 814.1 1089.1 157.4 0.666666666666667 -2088.44086021505 0.295159386068477 0.19334234123572
"13" 37.2 589 1089.1 157.4 0.777777777777778 -1483.33333333333 0.536760759901256 0.26723259762309
"14" 37.2 861.4 1089.1 157.4 0.777777777777778 -2215.59139784946 0.244391971664699 0.182725795217088
"15" 37.2 634.8 1089.1 157.4 0.666666666666667 -1606.45161290323 0.487603305785124 0.247952110901071
"16" 37.2 455.4 1089.1 157.4 0.666666666666667 -1124.1935483871 0.680154556187614 0.345630215195433
"17" 37.2 814.1 1089.1 157.4 0.666666666666667 -2088.44086021505 0.295159386068477 0.19334234123572
"18" 37.2 634.4 1089.1 157.4 0.666666666666667 -1605.37634408602 0.488032628528496 0.248108448928121
"19" 37.2 675.7 1089.1 157.4 0.666666666666667 -1716.39784946237 0.443705055275303 0.232943614029895
"20" 37.2 728.9 1089.1 157.4 0.666666666666667 -1859.40860215054 0.386605130406783 0.215941830155028
"21" 37.2 806.3 1089.1 157.4 0.888888888888889 -2067.47311827957 0.303531179564237 0.195212699987598
"22" 37.2 518.3 1089.1 157.4 0.777777777777778 -1293.27956989247 0.612643554792315 0.303685124445302
"23" 37.2 680.9 1089.1 157.4 0.555555555555556 -1730.37634408602 0.438123859611463 0.231164635041856
"24" 37.2 500.7 1089.1 157.4 0.777777777777778 -1245.96774193548 0.631533755500698 0.314359896145396
"25" 37.2 832.3 1089.1 157.4 0.888888888888889 -2137.36559139785 0.275625201245036 0.189114501982458
"26" 37.2 457.1 1089.1 157.4 0.555555555555556 -1128.76344086022 0.678329934528282 0.344344782323343
"27" 37.2 947.7 1089.1 157.4 0.888888888888889 -2447.58064516129 0.151765589782119 0.166086314234462
"28" 37.2 903.4 1089.1 157.4 0.777777777777778 -2328.49462365591 0.199313083610604 0.174230684082356
"29" 37.2 790.7 1089.1 157.4 0.666666666666667 -2025.5376344086 0.320274766555758 0.199064120399646
