"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 74.9 375.6 440.4 115.8 0.75 -401.468624833111 0.199630314232902 0.308306709265176
"2" 74.9 190.7 440.4 115.8 0.5 -154.606141522029 0.769254467036352 0.607236497115889
"3" 74.9 393.2 440.4 115.8 0.875 -424.966622162884 0.145409735058534 0.294506612410987
"4" 74.9 263.6 440.4 115.8 0.625 -251.935914552737 0.544670363524338 0.439301972685888
"5" 74.9 262.9 440.4 115.8 0.625 -251.001335113485 0.546826863832409 0.440471662228984
"6" 74.9 411.4 440.4 115.8 0.875 -449.265687583444 0.0893407270486752 0.281477880408362
"7" 74.9 315.4 440.4 115.8 0.625 -321.09479305741 0.385089340727049 0.36715282181357
"8" 74.9 292.6 440.4 115.8 0.625 -290.654205607476 0.455329636475662 0.395762132604238
"9" 74.9 357.4 440.4 115.8 0.75 -377.16955941255 0.25569932224276 0.324006715165081
"10" 74.9 234.6 440.4 115.8 0.625 -213.217623497997 0.634011090573013 0.493606138107417
"11" 74.9 289.3 440.4 115.8 0.625 -286.248331108144 0.465495995070856 0.400276529554096
"12" 74.9 321.6 440.4 115.8 0.625 -329.372496662216 0.365988909426987 0.360074626865672
"13" 74.9 306.2 440.4 115.8 0.75 -308.811748998665 0.41343191620456 0.378184193337688
"14" 74.9 333 440.4 115.8 0.75 -344.592790387183 0.33086876155268 0.347747747747748
"15" 74.9 291.6 440.4 115.8 0.625 -289.31909212283 0.458410351201479 0.397119341563786
"16" 74.9 297.2 440.4 115.8 0.875 -296.795727636849 0.441158348736907 0.389636608344549
"17" 74.9 364.2 440.4 115.8 0.75 -386.248331108144 0.234750462107209 0.317957166392092
"18" 74.9 268.8 440.4 115.8 0.625 -258.878504672897 0.528650646950092 0.430803571428571
"19" 74.9 368.8 440.4 115.8 0.75 -392.389853137517 0.220579174368454 0.313991323210412
"20" 74.9 255.8 440.4 115.8 0.5 -241.522029372497 0.568699938385705 0.452697419859265
"21" 74.9 314.1 440.4 115.8 0.625 -319.35914552737 0.38909426987061 0.368672397325692
"22" 74.9 357.4 440.4 115.8 0.75 -377.16955941255 0.25569932224276 0.324006715165081
"23" 74.9 295.4 440.4 115.8 0.875 -294.392523364486 0.446703635243376 0.392010832769127
"24" 74.9 281.8 440.4 115.8 0.75 -276.234979973298 0.488601355514479 0.410929737402413
"25" 74.9 288.6 440.4 115.8 0.75 -285.313751668892 0.467652495378928 0.401247401247401
"26" 74.9 191.3 440.4 115.8 0.5 -155.407209612817 0.767406038200863 0.605331939362258
"27" 74.9 310.8 440.4 115.8 0.625 -314.953271028037 0.399260628465804 0.372586872586873
"28" 74.9 288.6 440.4 115.8 0.75 -285.313751668892 0.467652495378928 0.401247401247401
"29" 74.9 382.4 440.4 115.8 0.875 -410.547396528705 0.178681454097351 0.302824267782427
"30" 74.9 375.6 440.4 115.8 0.75 -401.468624833111 0.199630314232902 0.308306709265176
"31" 74.9 321.6 440.4 115.8 0.75 -329.372496662216 0.365988909426987 0.360074626865672
"32" 74.9 364.2 440.4 115.8 0.75 -386.248331108144 0.234750462107209 0.317957166392092
"33" 74.9 375.6 440.4 115.8 0.75 -401.468624833111 0.199630314232902 0.308306709265176
"34" 74.9 398.4 440.4 115.8 0.875 -431.909212283044 0.129390018484288 0.29066265060241
"35" 74.9 369.4 440.4 115.8 0.75 -393.190921228304 0.218730745532964 0.31348132106118
"36" 74.9 356.1 440.4 115.8 0.75 -375.43391188251 0.259704251386322 0.325189553496209
"37" 74.9 368.8 440.4 115.8 0.75 -392.389853137517 0.220579174368454 0.313991323210412
"38" 74.9 346.6 440.4 115.8 0.75 -362.750333778371 0.288971041281577 0.334102712060012
"39" 74.9 285.8 440.4 115.8 0.75 -281.575433911882 0.476278496611214 0.40517844646606
"40" 74.9 291.9 440.4 115.8 0.625 -289.719626168224 0.457486136783734 0.396711202466598
"41" 74.9 297.8 440.4 115.8 0.625 -297.596795727637 0.439309919901417 0.38885157824043
"42" 74.9 277.2 440.4 115.8 0.75 -270.093457943925 0.502772643253235 0.417748917748918
"43" 74.9 362.9 440.4 115.8 0.75 -384.512683578104 0.23875539125077 0.319096169743731
"44" 74.9 404.6 440.4 115.8 0.875 -440.18691588785 0.110289587184227 0.286208601087494
"45" 74.9 214.8 440.4 115.8 0.5 -186.782376502003 0.695009242144178 0.539106145251397
"46" 74.9 282.4 440.4 115.8 0.75 -277.036048064085 0.486752926678989 0.410056657223796
"47" 74.9 306.2 440.4 115.8 0.75 -308.811748998665 0.41343191620456 0.378184193337688
