"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 40.35 169.9 320.4 78.7 0.5 -321.065675340768 0.622672734795201 0.46321365509123
"2" 40.35 278.8 320.4 78.7 0.833333333333333 -590.954151177199 0.172114191146049 0.282281205164993
"3" 40.35 207 320.4 78.7 0.833333333333333 -413.011152416357 0.469176665287547 0.380193236714976
"4" 40.35 207.7 320.4 78.7 0.666666666666667 -414.745972738538 0.466280513032685 0.378911892152142
"5" 40.35 270.1 320.4 78.7 0.833333333333333 -569.392812887237 0.208109226313612 0.291373565346168
"6" 40.35 185 320.4 78.7 0.666666666666667 -358.488228004957 0.560198593297476 0.425405405405405
"7" 40.35 186.9 320.4 78.7 0.666666666666667 -363.197026022305 0.55233760860571 0.421080791867309
"8" 40.35 162.9 320.4 78.7 0.5 -303.717472118959 0.651634257343815 0.483118477593616
"9" 40.35 270.1 320.4 78.7 0.833333333333333 -569.392812887237 0.208109226313612 0.291373565346168
"10" 40.35 219.8 320.4 78.7 0.833333333333333 -444.733581164808 0.416218452627224 0.358052775250227
"11" 40.35 249.3 320.4 78.7 0.666666666666667 -517.843866171004 0.294166321886636 0.315683914961893
"12" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"13" 40.35 205.8 320.4 78.7 0.833333333333333 -410.03717472119 0.474141497724452 0.382410106899903
"14" 40.35 171.2 320.4 78.7 0.5 -324.287484510533 0.617294166321887 0.459696261682243
"15" 40.35 261.8 320.4 78.7 0.666666666666667 -548.822800495663 0.24244931733554 0.30061115355233
"16" 40.35 244.8 320.4 78.7 0.833333333333333 -506.691449814126 0.312784443525031 0.321486928104575
"17" 40.35 183.7 320.4 78.7 0.5 -355.266418835192 0.56557716177079 0.428415895481764
"18" 40.35 160.8 320.4 78.7 0.5 -298.513011152416 0.660322714108399 0.489427860696517
"19" 40.35 278.8 320.4 78.7 0.833333333333333 -590.954151177199 0.172114191146049 0.282281205164993
"20" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"21" 40.35 211.5 320.4 78.7 0.5 -424.163568773234 0.450558543649152 0.37210401891253
"22" 40.35 282.6 320.4 78.7 0.833333333333333 -600.371747211896 0.156392221762516 0.278485491861288
"23" 40.35 278.8 320.4 78.7 0.833333333333333 -590.954151177199 0.172114191146049 0.282281205164993
"24" 40.35 225.3 320.4 78.7 0.666666666666667 -458.364312267658 0.393462970624741 0.349312028406569
"25" 40.35 216.4 320.4 78.7 0.833333333333333 -436.307311028501 0.430285477865122 0.363678373382625
"26" 40.35 228.5 320.4 78.7 0.666666666666667 -466.294919454771 0.380223417459661 0.344420131291028
"27" 40.35 113.7 320.4 78.7 0.5 -181.7843866171 0.85519238725693 0.69217238346526
"28" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"29" 40.35 194.5 320.4 78.7 0.666666666666667 -382.032218091698 0.520893669838643 0.404627249357326
"30" 40.35 197.3 320.4 78.7 0.5 -388.971499380421 0.509309060819197 0.398884946781551
"31" 40.35 232.3 320.4 78.7 0.666666666666667 -475.712515489467 0.364501448076127 0.338786052518295
"32" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"33" 40.35 113.7 320.4 78.7 0.5 -181.7843866171 0.85519238725693 0.69217238346526
"34" 40.35 244.8 320.4 78.7 0.833333333333333 -506.691449814126 0.312784443525031 0.321486928104575
"35" 40.35 204.5 320.4 78.7 0.5 -406.815365551425 0.479520066197766 0.384841075794621
"36" 40.35 219.8 320.4 78.7 0.833333333333333 -444.733581164808 0.416218452627224 0.358052775250227
"37" 40.35 244.8 320.4 78.7 0.833333333333333 -506.691449814126 0.312784443525031 0.321486928104575
"38" 40.35 152.9 320.4 78.7 0.5 -278.934324659232 0.693007860984692 0.514715500327011
"39" 40.35 278.8 320.4 78.7 0.833333333333333 -590.954151177199 0.172114191146049 0.282281205164993
"40" 40.35 278.8 320.4 78.7 0.833333333333333 -590.954151177199 0.172114191146049 0.282281205164993
"41" 40.35 185 320.4 78.7 0.666666666666667 -358.488228004957 0.560198593297476 0.425405405405405
"42" 40.35 219.8 320.4 78.7 0.833333333333333 -444.733581164808 0.416218452627224 0.358052775250227
"43" 40.35 212.8 320.4 78.7 0.666666666666667 -427.385377942999 0.445179975175838 0.369830827067669
"44" 40.35 228.5 320.4 78.7 0.666666666666667 -466.294919454771 0.380223417459661 0.344420131291028
"45" 40.35 299.6 320.4 78.7 0.833333333333333 -642.503097893432 0.0860570955730244 0.262683578104139
"46" 40.35 219.8 320.4 78.7 0.833333333333333 -444.733581164808 0.416218452627224 0.358052775250227
"47" 40.35 220.2 320.4 78.7 0.666666666666667 -445.724907063197 0.414563508481589 0.357402361489555
"48" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"49" 40.35 299.6 320.4 78.7 0.833333333333333 -642.503097893432 0.0860570955730244 0.262683578104139
"50" 40.35 169.9 320.4 78.7 0.5 -321.065675340768 0.622672734795201 0.46321365509123
"51" 40.35 182.4 320.4 78.7 0.666666666666667 -352.044609665427 0.570955730244104 0.431469298245614
"52" 40.35 235.1 320.4 78.7 0.666666666666667 -482.651796778191 0.352916839056682 0.334751169715015
"53" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"54" 40.35 242.3 320.4 78.7 0.666666666666667 -500.495662949195 0.32312784443525 0.324803962030541
"55" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"56" 40.35 203.2 320.4 78.7 0.666666666666667 -403.59355638166 0.48489863467108 0.387303149606299
"57" 40.35 242.3 320.4 78.7 0.666666666666667 -500.495662949195 0.32312784443525 0.324803962030541
"58" 40.35 149.7 320.4 78.7 0.666666666666667 -271.003717472119 0.706247414149772 0.525718102872411
"59" 40.35 232.3 320.4 78.7 0.666666666666667 -475.712515489467 0.364501448076127 0.338786052518295
"60" 40.35 237.2 320.4 78.7 0.833333333333333 -487.856257744734 0.344228382292098 0.331787521079258
"61" 40.35 282.6 320.4 78.7 0.833333333333333 -600.371747211896 0.156392221762516 0.278485491861288
"62" 40.35 261.8 320.4 78.7 0.666666666666667 -548.822800495663 0.24244931733554 0.30061115355233
"63" 40.35 190.7 320.4 78.7 0.5 -372.614622057001 0.536615639222176 0.412690089145254
"64" 40.35 169.2 320.4 78.7 0.833333333333333 -319.330855018587 0.625568887050062 0.465130023640662
"65" 40.35 228.5 320.4 78.7 0.666666666666667 -466.294919454771 0.380223417459661 0.344420131291028
"66" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"67" 40.35 255.9 320.4 78.7 0.833333333333333 -534.200743494424 0.266859743483657 0.307542008597108
"68" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"69" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"70" 40.35 214.3 320.4 78.7 0.666666666666667 -431.102850061958 0.438973934629706 0.36724218385441
"71" 40.35 320.4 320.4 78.7 1 -694.052044609665 0 0.245630461922597
"72" 40.35 282.6 320.4 78.7 0.833333333333333 -600.371747211896 0.156392221762516 0.278485491861288
"73" 40.35 194.5 320.4 78.7 0.666666666666667 -382.032218091698 0.520893669838643 0.404627249357326
