"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 178.9 181.6 256.8 19.2 0.75 -1.50922302962551 0.316498316498316 0.105726872246696
"2" 178.9 129.7 256.8 19.2 0.8 27.5013974287311 0.53493265993266 0.148033924441018
"3" 178.9 147.8 256.8 19.2 0.7 17.3840134153158 0.458754208754209 0.129905277401894
"4" 178.9 201 256.8 19.2 0.75 -12.3532699832309 0.234848484848485 0.0955223880597015
"5" 178.9 164 256.8 19.2 0.75 8.32867523756289 0.390572390572391 0.117073170731707
"6" 178.9 173.2 256.8 19.2 0.8 3.18613750698712 0.351851851851852 0.110854503464203
"7" 178.9 164.2 256.8 19.2 0.65 8.21688093907211 0.38973063973064 0.116930572472594
"8" 178.9 165.5 256.8 19.2 0.55 7.49021799888206 0.384259259259259 0.116012084592145
"9" 178.9 141.2 256.8 19.2 0.65 21.0732252655115 0.486531986531987 0.135977337110482
"10" 178.9 215.3 256.8 19.2 0.8 -20.3465623253214 0.1746632996633 0.089177891314445
"11" 178.9 168.6 256.8 19.2 0.7 5.75740637227501 0.371212121212121 0.113879003558719
"12" 178.9 158.5 256.8 19.2 0.75 11.4030184460593 0.413720538720539 0.121135646687697
"13" 178.9 151.1 256.8 19.2 0.75 15.539407490218 0.44486531986532 0.127068166776969
"14" 178.9 188.6 256.8 19.2 0.75 -5.4220234768027 0.287037037037037 0.101802757158006
"15" 178.9 205.9 256.8 19.2 0.85 -15.0922302962549 0.214225589225589 0.0932491500728509
"16" 178.9 174.2 256.8 19.2 0.7 2.62716601453327 0.347643097643098 0.110218140068886
"17" 178.9 160.3 256.8 19.2 0.7 10.3968697596423 0.406144781144781 0.119775421085465
"18" 178.9 160.4 256.8 19.2 0.7 10.3409726103968 0.405723905723906 0.119700748129676
"19" 178.9 134.5 256.8 19.2 0.6 24.8183342649525 0.51473063973064 0.14275092936803
"20" 178.9 160.5 256.8 19.2 0.8 10.2850754611515 0.40530303030303 0.119626168224299
"21" 178.9 145.7 256.8 19.2 0.8 18.557853549469 0.467592592592593 0.131777625257378
"22" 178.9 172.1 256.8 19.2 0.75 3.8010061486864 0.356481481481481 0.111563044741429
"23" 178.9 206.3 256.8 19.2 0.75 -15.3158188932365 0.212542087542087 0.0930683470673776
"24" 178.9 163.6 256.8 19.2 0.7 8.55226383454443 0.392255892255892 0.117359413202934
"25" 178.9 127.7 256.8 19.2 0.6 28.6193404136389 0.543350168350168 0.150352388410337
"26" 178.9 163.5 256.8 19.2 0.75 8.60816098378983 0.392676767676768 0.11743119266055
"27" 178.9 104.5 256.8 19.2 0.75 41.587479038569 0.640993265993266 0.183732057416268
"28" 178.9 184.7 256.8 19.2 0.8 -3.24203465623252 0.303451178451179 0.103952355170547
"29" 178.9 204.5 256.8 19.2 0.8 -14.3096702068195 0.220117845117845 0.0938875305623472
"30" 178.9 185.4 256.8 19.2 0.8 -3.63331470095027 0.30050505050505 0.103559870550162
"31" 178.9 187.6 256.8 19.2 0.8 -4.8630519843488 0.291245791245791 0.102345415778252
"32" 178.9 155.6 256.8 19.2 0.75 13.0240357741755 0.425925925925926 0.123393316195373
"33" 178.9 168.9 256.8 19.2 0.8 5.58971492453885 0.369949494949495 0.113676731793961
"34" 178.9 150 256.8 19.2 0.7 16.1542761319173 0.44949494949495 0.128
"35" 178.9 149.2 256.8 19.2 0.7 16.6014533258804 0.452861952861953 0.128686327077748
"36" 178.9 153.9 256.8 19.2 0.8 13.9742873113471 0.433080808080808 0.124756335282651
"37" 178.9 189 256.8 19.2 0.75 -5.64561207378422 0.285353535353535 0.101587301587302
"38" 178.9 163.6 256.8 19.2 0.7 8.55226383454443 0.392255892255892 0.117359413202934
"39" 178.9 214 256.8 19.2 0.8 -19.6198993851314 0.18013468013468 0.0897196261682243
"40" 178.9 136.8 256.8 19.2 0.75 23.5326998323085 0.505050505050505 0.140350877192982
"41" 178.9 172.9 256.8 19.2 0.7 3.3538289547233 0.353114478114478 0.111046847888953
"42" 178.9 138.5 256.8 19.2 0.75 22.5824482951369 0.497895622895623 0.138628158844765
"43" 178.9 172.9 256.8 19.2 0.8 3.35382895472329 0.353114478114478 0.111046847888953
"44" 178.9 161.2 256.8 19.2 0.75 9.89379541643377 0.402356902356902 0.119106699751861
"45" 178.9 152.3 256.8 19.2 0.8 14.8686416992733 0.439814814814815 0.126066973079448
"46" 178.9 185.9 256.8 19.2 0.65 -3.91280044717721 0.298400673400673 0.103281334050565
"47" 178.9 209.2 256.8 19.2 0.85 -16.9368362213527 0.2003367003367 0.0917782026768642
"48" 178.9 179.8 256.8 19.2 0.8 -0.503074343208509 0.324074074074074 0.10678531701891
"49" 178.9 214.4 256.8 19.2 0.85 -19.8434879821129 0.178451178451179 0.0895522388059702
"50" 178.9 177.4 256.8 19.2 0.8 0.838457238680845 0.334175084175084 0.108229988726043
"51" 178.9 195.3 256.8 19.2 0.75 -9.16713247624372 0.258838383838384 0.098310291858679
"52" 178.9 177.9 256.8 19.2 0.8 0.558971492453897 0.332070707070707 0.107925801011804
"53" 178.9 184.5 256.8 19.2 0.85 -3.13024035774174 0.304292929292929 0.104065040650407
"54" 178.9 134.1 256.8 19.2 0.75 25.041922861934 0.516414141414141 0.143176733780761
"55" 178.9 135 256.8 19.2 0.7 24.5388485187255 0.512626262626263 0.142222222222222
"56" 178.9 117.1 256.8 19.2 0.75 34.5444382336501 0.587962962962963 0.163962425277541
"57" 178.9 154.7 256.8 19.2 0.75 13.527110117384 0.429713804713805 0.124111182934712
"58" 178.9 181.1 256.8 19.2 0.8 -1.22973728339855 0.318602693602694 0.106018774157924
"59" 178.9 195.6 256.8 19.2 0.85 -9.33482392397986 0.257575757575758 0.098159509202454
"60" 178.9 145.1 256.8 19.2 0.8 18.8932364449413 0.470117845117845 0.132322536181943
"61" 178.9 168.8 256.8 19.2 0.7 5.64561207378423 0.37037037037037 0.113744075829384
"62" 178.9 181.1 256.8 19.2 0.8 -1.22973728339855 0.318602693602694 0.106018774157924
"63" 178.9 188 256.8 19.2 0.8 -5.08664058133035 0.28956228956229 0.102127659574468
"64" 178.9 171.3 256.8 19.2 0.7 4.24818334264953 0.359848484848485 0.112084063047285
"65" 178.9 167.8 256.8 19.2 0.7 6.20458356623812 0.374579124579125 0.114421930870083
"66" 178.9 192.4 256.8 19.2 0.8 -7.54611514812746 0.271043771043771 0.0997920997920998
"67" 178.9 165.3 256.8 19.2 0.75 7.60201229737283 0.38510101010101 0.116152450090744
"68" 178.9 158.1 256.8 19.2 0.8 11.6266070430408 0.41540404040404 0.121442125237192
"69" 178.9 207.3 256.8 19.2 0.75 -15.8747903856903 0.208333333333333 0.0926193921852388
"70" 178.9 208.7 256.8 19.2 0.75 -16.6573504751258 0.202441077441078 0.0919980833732631
"71" 178.9 176.9 256.8 19.2 0.8 1.11794298490775 0.336279461279461 0.108535895986433
"72" 178.9 163.7 256.8 19.2 0.65 8.49636668529906 0.391835016835017 0.117287721441662
"73" 178.9 212.6 256.8 19.2 0.8 -18.8373392956959 0.186026936026936 0.090310442144873
"74" 178.9 170.2 256.8 19.2 0.6 4.86305198434879 0.364478114478115 0.112808460634548
"75" 178.9 122.6 256.8 19.2 0.7 31.4700950251537 0.564814814814815 0.156606851549755
"76" 178.9 144.4 256.8 19.2 0.65 19.284516489659 0.473063973063973 0.132963988919668
"77" 178.9 165 256.8 19.2 0.8 7.769703745109 0.386363636363636 0.116363636363636
"78" 178.9 153.1 256.8 19.2 0.65 14.4214645053102 0.436447811447811 0.125408229915088
"79" 178.9 122 256.8 19.2 0.75 31.805477920626 0.567340067340067 0.157377049180328
"80" 178.9 125.5 256.8 19.2 0.65 29.8490776970375 0.552609427609428 0.152988047808765
"81" 178.9 120 256.8 19.2 0.65 32.9234209055338 0.575757575757576 0.16
"82" 178.9 212.7 256.8 19.2 0.85 -18.8932364449413 0.185606060606061 0.0902679830747532
"83" 178.9 161.2 256.8 19.2 0.65 9.89379541643376 0.402356902356902 0.119106699751861
"84" 178.9 139.7 256.8 19.2 0.7 21.9116825041923 0.492845117845118 0.137437365783822
"85" 178.9 206.5 256.8 19.2 0.75 -15.4276131917272 0.211700336700337 0.0929782082324455
"86" 178.9 141.3 256.8 19.2 0.75 21.0173281162661 0.486111111111111 0.13588110403397
"87" 178.9 176.3 256.8 19.2 0.6 1.4533258803801 0.338804713804714 0.108905275099263
"88" 178.9 181.2 256.8 19.2 0.7 -1.28563443264393 0.318181818181818 0.105960264900662
"89" 178.9 160.4 256.8 19.2 0.7 10.3409726103968 0.405723905723906 0.119700748129676
"90" 178.9 162.2 256.8 19.2 0.75 9.33482392397985 0.398148148148148 0.118372379778052
"91" 178.9 244.3 256.8 19.2 0.9 -36.5567356064841 0.0526094276094276 0.0785918952108064
"92" 178.9 145.4 256.8 19.2 0.65 18.7255449972051 0.468855218855219 0.132049518569464
"93" 178.9 162.4 256.8 19.2 0.8 9.22302962548912 0.397306397306397 0.118226600985222
"94" 178.9 196.4 256.8 19.2 0.75 -9.78200111794301 0.254208754208754 0.0977596741344195
"95" 178.9 206.9 256.8 19.2 0.8 -15.6512017887088 0.210016835016835 0.0927984533591107
"96" 178.9 184.4 256.8 19.2 0.8 -3.07434320849638 0.304713804713805 0.10412147505423
"97" 178.9 159.6 256.8 19.2 0.8 10.78814980436 0.409090909090909 0.120300751879699
"98" 178.9 169.7 256.8 19.2 0.75 5.14253773057575 0.366582491582492 0.113140836770772
"99" 178.9 171.7 256.8 19.2 0.7 4.02459474566798 0.358164983164983 0.111822947000582
"100" 178.9 174.1 256.8 19.2 0.75 2.68306316377864 0.348063973063973 0.110281447443998
"101" 178.9 189.2 256.8 19.2 0.75 -5.757406372275 0.284511784511785 0.101479915433404
"102" 178.9 173.1 256.8 19.2 0.7 3.24203465623252 0.352272727272727 0.110918544194107
"103" 178.9 181.4 256.8 19.2 0.7 -1.39742873113471 0.317340067340067 0.105843439911797
"104" 178.9 174 256.8 19.2 0.8 2.73896031302404 0.348484848484849 0.110344827586207
"105" 178.9 181.5 256.8 19.2 0.8 -1.4533258803801 0.316919191919192 0.105785123966942
"106" 178.9 168.5 256.8 19.2 0.75 5.81330352152041 0.371632996632997 0.113946587537092
"107" 178.9 188.9 256.8 19.2 0.85 -5.58971492453886 0.285774410774411 0.101641079936474
