"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 64.8 668.7 969.6 158.5 0.692307692307692 -931.944444444445 0.370977684625817 0.237027067444295
"2" 64.8 669.5 969.6 158.5 0.769230769230769 -933.17901234568 0.369991369744791 0.236743838685586
"3" 64.8 603.5 969.6 158.5 0.692307692307692 -831.327160493828 0.451362347429417 0.262634631317316
"4" 64.8 557.5 969.6 158.5 0.692307692307692 -760.33950617284 0.508075453088398 0.284304932735426
"5" 64.8 672.2 969.6 158.5 0.615384615384615 -937.345679012346 0.366662557021329 0.235792918774174
"6" 64.8 577.1 969.6 158.5 0.769230769230769 -790.586419753087 0.483910738503267 0.274649107607
"7" 64.8 613.8 969.6 158.5 0.769230769230769 -847.222222222223 0.43866354333621 0.25822743564679
"8" 64.8 648.1 969.6 158.5 0.846153846153846 -900.154320987655 0.39637529281223 0.244561024533251
"9" 64.8 574.4 969.6 158.5 0.692307692307692 -786.419753086421 0.487239551226729 0.275940111420613
"10" 64.8 936.1 969.6 158.5 0.923076923076923 -1344.5987654321 0.041301935642954 0.169319517145604
"11" 64.8 464 969.6 158.5 0.615384615384615 -616.04938271605 0.623351004808285 0.341594827586207
"12" 64.8 684.6 969.6 158.5 0.692307692307692 -956.481481481482 0.35137467636543 0.231522056675431
"13" 64.8 525.8 969.6 158.5 0.692307692307692 -711.41975308642 0.547158180249045 0.301445416508178
"14" 64.8 585 969.6 158.5 0.846153846153846 -802.777777777779 0.474170879053138 0.270940170940171
"15" 64.8 570.8 969.6 158.5 0.769230769230769 -780.864197530865 0.491677968191345 0.277680448493343
"16" 64.8 687.8 969.6 158.5 0.692307692307692 -961.419753086421 0.347429416841327 0.230444896772317
"17" 64.8 620.2 969.6 158.5 0.692307692307692 -857.098765432099 0.430773024288004 0.255562721702677
"18" 64.8 580.6 969.6 158.5 0.692307692307692 -795.987654320988 0.479595610898779 0.272993455046504
"19" 64.8 636 969.6 158.5 0.692307692307692 -881.481481481482 0.411293305387745 0.249213836477987
"20" 64.8 591.5 969.6 158.5 0.538461538461538 -812.808641975309 0.466157070644803 0.267962806424345
"21" 64.8 419.1 969.6 158.5 0.615384615384615 -546.75925925926 0.678707927505856 0.378191362443331
"22" 64.8 689 969.6 158.5 0.769230769230769 -963.271604938272 0.345949944519788 0.230043541364296
"23" 64.8 466.9 969.6 158.5 0.692307692307692 -620.524691358025 0.619775613364567 0.339473120582566
"24" 64.8 665.8 969.6 158.5 0.769230769230769 -927.46913580247 0.374553076069535 0.238059477320517
"25" 64.8 687.8 969.6 158.5 0.769230769230769 -961.419753086421 0.347429416841327 0.230444896772317
"26" 64.8 658.7 969.6 158.5 0.769230769230769 -916.512345679013 0.383306620638639 0.240625474419311
"27" 64.8 657.8 969.6 158.5 0.769230769230769 -915.123456790124 0.384416224879793 0.240954697476437
"28" 64.8 508 969.6 158.5 0.769230769230769 -683.950617283951 0.569103686351868 0.312007874015748
"29" 64.8 646.9 969.6 158.5 0.692307692307692 -898.302469135803 0.397854765133769 0.245014685422786
"30" 64.8 766.1 969.6 158.5 0.923076923076923 -1082.25308641975 0.250893847860929 0.20689205064613
"31" 64.8 621.8 969.6 158.5 0.692307692307692 -859.567901234569 0.428800394525952 0.254905114184625
"32" 64.8 717.6 969.6 158.5 0.769230769230769 -1007.40740740741 0.310689187523117 0.2208751393534
"33" 64.8 684.1 969.6 158.5 0.769230769230769 -955.709876543211 0.351991123166071 0.231691273205672
"34" 64.8 791.8 969.6 158.5 0.846153846153846 -1121.91358024691 0.219208482307977 0.200176812326345
"35" 64.8 673.3 969.6 158.5 0.615384615384615 -939.043209876544 0.365306374059919 0.235407693450171
"36" 64.8 650.2 969.6 158.5 0.692307692307692 -903.395061728396 0.393786216249538 0.24377114733928
"37" 64.8 768.9 969.6 158.5 0.769230769230769 -1086.57407407408 0.247441745777339 0.206138639615034
"38" 64.8 305.6 969.6 158.5 0.538461538461538 -371.604938271605 0.818641351251387 0.518651832460733
"39" 64.8 439.4 969.6 158.5 0.692307692307692 -578.086419753087 0.653680187399827 0.36071916249431
"40" 64.8 529.1 969.6 158.5 0.692307692307692 -716.512345679013 0.543089631364813 0.2995652995653
"41" 64.8 391.7 969.6 158.5 0.538461538461538 -504.475308641976 0.712489212180989 0.404646413071228
"42" 64.8 910.6 969.6 158.5 0.923076923076923 -1305.24691358025 0.0727407224756503 0.174061058642653
"43" 64.8 556.4 969.6 158.5 0.769230769230769 -758.641975308643 0.509431636049809 0.284867002156722
