"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 102.08 349.45 467.4 91.4 0.75 -242.329545454545 0.313696808510638 0.261553870367721
"2" 102.08 343.9 467.4 91.4 0.75 -236.89263322884 0.328457446808511 0.265774934574004
"3" 102.08 272.8 467.4 91.4 0.75 -167.241379310345 0.517553191489362 0.335043988269795
"4" 102.08 305.85 467.4 91.4 0.75 -199.617946708464 0.429654255319149 0.29883930031061
"5" 102.08 420 467.4 91.4 0.875 -311.442006269592 0.126063829787234 0.217619047619048
"6" 102.08 287.7 467.4 91.4 0.5 -181.837774294671 0.477925531914894 0.317692040319778
"7" 102.08 367.6 467.4 91.4 0.75 -260.109717868338 0.265425531914893 0.248639825897715
"8" 102.08 367.6 467.4 91.4 0.75 -260.109717868338 0.265425531914893 0.248639825897715
"9" 102.08 443.7 467.4 91.4 0.875 -334.659090909091 0.0630319148936171 0.205995041694839
"10" 102.08 245.3 467.4 91.4 0.75 -140.301724137931 0.590691489361702 0.372604973501834
"11" 102.08 381.95 467.4 91.4 0.75 -274.167319749216 0.227260638297872 0.239298337478728
"12" 102.08 227.7 467.4 91.4 0.875 -123.060344827586 0.6375 0.401405357927097
"13" 102.08 329.55 467.4 91.4 0.75 -222.835031347962 0.366622340425532 0.277347898649674
"14" 102.08 396.3 467.4 91.4 0.875 -288.224921630094 0.189095744680851 0.230633358566742
"15" 102.08 329.55 467.4 91.4 0.75 -222.835031347962 0.366622340425532 0.277347898649674
"16" 102.08 363.8 467.4 91.4 0.75 -256.387147335423 0.275531914893617 0.251236943375481
"17" 102.08 372.6 467.4 91.4 0.875 -265.007836990595 0.252127659574468 0.245303274288782
"18" 102.08 287.7 467.4 91.4 0.625 -181.837774294671 0.477925531914894 0.317692040319778
"19" 102.08 320.2 467.4 91.4 0.75 -213.675548589342 0.391489361702128 0.285446595877576
"20" 102.08 310.85 467.4 91.4 0.75 -204.516065830721 0.416356382978723 0.294032491555413
"21" 102.08 467.4 467.4 91.4 1 -357.876175548589 0 0.195549850235344
"22" 102.08 443.7 467.4 91.4 0.875 -334.659090909091 0.0630319148936171 0.205995041694839
"23" 102.08 325.75 467.4 91.4 0.625 -219.112460815047 0.376728723404255 0.280583269378358
"24" 102.08 396.3 467.4 91.4 0.875 -288.224921630094 0.189095744680851 0.230633358566742
"25" 102.08 353.25 467.4 91.4 0.875 -246.052115987461 0.303590425531915 0.258740268931352
