"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*"
"1" 69.99 302.8 378.7 86.7 0.777777777777778 -332.633233319046 0.259931506849315 0.286327608982827
"2" 69.99 209.4 378.7 86.7 0.555555555555556 -199.185597942563 0.579794520547945 0.41404011461318
"3" 69.99 273.6 378.7 86.7 0.666666666666667 -290.912987569653 0.359931506849315 0.316885964912281
"4" 69.99 273.8 378.7 86.7 0.777777777777778 -291.198742677525 0.359246575342466 0.316654492330168
"5" 69.99 224.4 378.7 86.7 0.555555555555556 -220.617231033005 0.528424657534247 0.386363636363636
"6" 69.99 251.6 378.7 86.7 0.666666666666667 -259.479925703672 0.43527397260274 0.344594594594595
"7" 69.99 273.6 378.7 86.7 0.666666666666667 -290.912987569653 0.359931506849315 0.316885964912281
"8" 69.99 268.6 378.7 86.7 0.777777777777778 -283.769109872839 0.377054794520548 0.322784810126582
"9" 69.99 246.4 378.7 86.7 0.444444444444444 -252.050292898986 0.453082191780822 0.351866883116883
"10" 69.99 223.8 378.7 86.7 0.555555555555556 -219.759965709387 0.530479452054795 0.387399463806971
"11" 69.99 243.8 378.7 86.7 0.666666666666667 -248.335476496642 0.461986301369863 0.355619360131255
"12" 69.99 268.6 378.7 86.7 0.777777777777778 -283.769109872839 0.377054794520548 0.322784810126582
"13" 69.99 172.1 378.7 86.7 0.333333333333333 -145.892270324332 0.707534246575343 0.503776873910517
"14" 69.99 236.2 378.7 86.7 0.555555555555556 -237.476782397485 0.488013698630137 0.367061812023709
"15" 69.99 219.6 378.7 86.7 0.666666666666667 -213.759108444063 0.54486301369863 0.394808743169399
"16" 69.99 256 378.7 86.7 0.777777777777778 -265.766538076868 0.420205479452055 0.338671875
"17" 69.99 221.6 378.7 86.7 0.555555555555556 -216.616659522789 0.538013698630137 0.391245487364621
"18" 69.99 252 378.7 86.7 0.666666666666667 -260.051435919417 0.433904109589041 0.344047619047619
"19" 69.99 252.8 378.7 86.7 0.666666666666667 -261.194456350907 0.431164383561644 0.342958860759494
"20" 69.99 265.8 378.7 86.7 0.666666666666667 -279.768538362623 0.386643835616438 0.326185101580135
"21" 69.99 302.8 378.7 86.7 0.777777777777778 -332.633233319046 0.259931506849315 0.286327608982827
"22" 69.99 209.2 378.7 86.7 0.555555555555556 -198.899842834691 0.580479452054795 0.414435946462715
"23" 69.99 252.8 378.7 86.7 0.666666666666667 -261.194456350907 0.431164383561644 0.342958860759494
"24" 69.99 282.8 378.7 86.7 0.666666666666667 -304.05772253179 0.328424657534247 0.306577086280057
"25" 69.99 308.6 378.7 86.7 0.777777777777778 -340.92013144735 0.240068493150685 0.280946208684381
"26" 69.99 257 378.7 86.7 0.555555555555556 -267.195313616231 0.416780821917808 0.337354085603113
"27" 69.99 230.8 378.7 86.7 0.555555555555556 -229.761394484926 0.506506849315069 0.375649913344887
"28" 69.99 265.8 378.7 86.7 0.666666666666667 -279.768538362623 0.386643835616438 0.326185101580135
"29" 69.99 216.2 378.7 86.7 0.444444444444444 -208.90127161023 0.556506849315069 0.401017576318224
"30" 69.99 260 378.7 86.7 0.666666666666667 -271.481640234319 0.406506849315069 0.333461538461538
"31" 69.99 215.4 378.7 86.7 0.555555555555556 -207.75825117874 0.559246575342466 0.402506963788301
"32" 69.99 297 378.7 86.7 0.777777777777778 -324.346335190741 0.279794520547945 0.291919191919192
"33" 69.99 320.2 378.7 86.7 0.888888888888889 -357.493927703958 0.200342465753425 0.270768269831355
"34" 69.99 277 378.7 86.7 0.666666666666667 -295.770824403486 0.348287671232877 0.312996389891697
"35" 69.99 252.8 378.7 86.7 0.666666666666667 -261.194456350907 0.431164383561644 0.342958860759494
"36" 69.99 180.2 378.7 86.7 0.444444444444444 -157.46535219317 0.679794520547945 0.481132075471698
"37" 69.99 212 378.7 86.7 0.555555555555556 -202.900414344906 0.570890410958904 0.408962264150943
"38" 69.99 282.8 378.7 86.7 0.666666666666667 -304.05772253179 0.328424657534247 0.306577086280057
"39" 69.99 258.8 378.7 86.7 0.666666666666667 -269.767109587084 0.410616438356165 0.335007727975271
"40" 69.99 224.5 378.7 86.7 0.555555555555556 -220.760108586941 0.528082191780822 0.38619153674833
"41" 69.99 257 378.7 86.7 0.666666666666667 -267.195313616231 0.416780821917808 0.337354085603113
"42" 69.99 172.8 378.7 86.7 0.444444444444444 -146.892413201886 0.70513698630137 0.501736111111111
"43" 69.99 188 378.7 86.7 0.444444444444444 -168.6098014002 0.653082191780822 0.461170212765957
"44" 69.99 185.9 378.7 86.7 0.666666666666667 -165.609372767538 0.66027397260274 0.466379774072082
"45" 69.99 217.4 378.7 86.7 0.666666666666667 -210.615802257465 0.552397260273973 0.398804047838086
"46" 69.99 252.2 378.7 86.7 0.555555555555556 -260.33719102729 0.433219178082192 0.343774781919112
